drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
20302,32384,Potassium Iodide,adrenal insufficiency,disease-phenotype-protein-drug,contraindication,"['adrenal insufficiency', 'Seizure', 'ABCC2', 'Potassium Iodide']",1.0,"Question: Is adrenal insufficiency an indication for Potassium Iodide?
Answer: NO"
14227,29078,Etodolac,rheumatoid arthritis,disease-phenotype-protein-drug,indication,"['rheumatoid arthritis', 'Fever', 'PTGS2', 'Etodolac']",0.5,"Question: Is rheumatoid arthritis an indication for Etodolac?
Answer: YES"
14176,29494,Fluoxetine,autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,disease-phenotype-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to G6PC3 deficiency', 'Hepatomegaly', 'NR1H4', 'Fluoxetine']",1.0,"Question: Is autosomal recessive severe congenital neutropenia due to G6PC3 deficiency an indication for Fluoxetine?
Answer: NO"
14167,83845,Ampicillin,viral meningitis,disease-protein-drug,indication,"['viral meningitis', 'ALB', 'Ampicillin']",0.5,"Question: Is viral meningitis an indication for Ampicillin?
Answer: YES"
15778,27219,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Seizure', 'NRP2', 'Tolazamide']",1.0,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Answer: NO"
16014,28780,Chlorprothixene,Alzheimer disease,disease-phenotype-protein-drug,contraindication,"['Alzheimer disease', 'Seizure', 'FA2H', 'Chlorprothixene']",1.0,"Question: Is Alzheimer disease an indication for Chlorprothixene?
Answer: NO"
14945,28640,Sorafenib,nonpapillary renal cell carcinoma,disease-protein-drug,indication,"['nonpapillary renal cell carcinoma', 'FLT4', 'Sorafenib']",0.5,"Question: Is nonpapillary renal cell carcinoma an indication for Sorafenib?
Answer: YES"
15462,32875,Esomeprazole,Zollinger-Ellison syndrome,disease-phenotype-protein-drug,indication,"['Zollinger-Ellison syndrome', 'Nausea', 'ABCB1', 'Esomeprazole']",0.5,"Question: Is Zollinger-Ellison syndrome an indication for Esomeprazole?
Answer: YES"
15263,83859,Enasidenib,acute myeloid leukemia with t(9;11)(p22;q23),disease-protein-drug,indication,"['acute myeloid leukemia with t(9;11)(p22;q23)', 'IDH2', 'Enasidenib']",0.5,"Question: Is acute myeloid leukemia with t(9;11)(p22;q23) an indication for Enasidenib?
Answer: YES"
20394,27286,Sulfabenzamide,galactosemia,disease-phenotype-protein-drug,contraindication,"['galactosemia', 'Seizure', 'KAT8', 'Sulfabenzamide']",1.0,"Question: Is galactosemia an indication for Sulfabenzamide?
Answer: NO"
15193,28801,Rotigotine,juvenile onset Parkinson disease 19A,disease-protein-drug,indication,"['juvenile onset Parkinson disease 19A', 'DRD1', 'Rotigotine']",0.5,"Question: Is juvenile onset Parkinson disease 19A an indication for Rotigotine?
Answer: YES"
14030,33534,Prednisolone,pediatric systemic lupus erythematosus,disease-phenotype-protein-drug,indication,"['pediatric systemic lupus erythematosus', 'Thrombocytopenia', 'ALB', 'Prednisolone']",0.5,"Question: Is pediatric systemic lupus erythematosus an indication for Prednisolone?
Answer: YES"
14830,28974,Amantadine,early-onset parkinsonism-intellectual disability syndrome,disease-phenotype-protein-drug,indication,"['early-onset parkinsonism-intellectual disability syndrome', 'Seizure', 'CHRNA3', 'Amantadine']",0.5,"Question: Is early-onset parkinsonism-intellectual disability syndrome an indication for Amantadine?
Answer: YES"
14269,27648,Methylprednisolone,familial glucocorticoid deficiency,disease-phenotype-protein-drug,indication,"['familial glucocorticoid deficiency', 'Vomiting', 'ABCB1', 'Methylprednisolone']",0.5,"Question: Is familial glucocorticoid deficiency an indication for Methylprednisolone?
Answer: YES"
14948,83769,Teniposide,precursor T-cell acute lymphoblastic leukemia,disease-protein-drug,indication,"['precursor T-cell acute lymphoblastic leukemia', 'ABCG2', 'Teniposide']",0.5,"Question: Is precursor T-cell acute lymphoblastic leukemia an indication for Teniposide?
Answer: YES"
14906,37703,Toloxatone,neurotic disorder,disease-protein-drug,indication,"['neurotic disorder', 'MAOA', 'Toloxatone']",0.5,"Question: Is neurotic disorder an indication for Toloxatone?
Answer: YES"
16793,32629,Chlorothiazide,familial intrahepatic cholestasis,disease-phenotype-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'Splenomegaly', 'CYP1A2', 'Chlorothiazide']",1.0,"Question: Is familial intrahepatic cholestasis an indication for Chlorothiazide?
Answer: NO"
14792,83819,Paclitaxel,malignant dysgerminomatous germ cell tumor of ovary,disease-protein-drug,indication,"['malignant dysgerminomatous germ cell tumor of ovary', 'CYP1B1', 'Paclitaxel']",0.5,"Question: Is malignant dysgerminomatous germ cell tumor of ovary an indication for Paclitaxel?
Answer: YES"
14685,35739,Progesterone,uterine corpus cancer,disease-protein-drug,indication,"['uterine corpus cancer', 'ESR2', 'Progesterone']",0.5,"Question: Is uterine corpus cancer an indication for Progesterone?
Answer: YES"
14060,33296,Levothyroxine,familial papillary or follicular thyroid carcinoma,disease-phenotype-protein-drug,indication,"['familial papillary or follicular thyroid carcinoma', 'Pain', 'ALB', 'Levothyroxine']",0.5,"Question: Is familial papillary or follicular thyroid carcinoma an indication for Levothyroxine?
Answer: YES"
14208,83765,Testosterone,hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,disease-protein-drug,indication,"['hypogonadotropic hypogonadism-frontoparietal alopecia syndrome', 'CYP19A1', 'Testosterone']",0.5,"Question: Is hypogonadotropic hypogonadism-frontoparietal alopecia syndrome an indication for Testosterone?
Answer: YES"
14269,83791,Methylprednisolone,vasomotor rhinitis,disease-protein-drug,indication,"['vasomotor rhinitis', 'ALB', 'Methylprednisolone']",0.5,"Question: Is vasomotor rhinitis an indication for Methylprednisolone?
Answer: YES"
14059,32622,Liothyronine,thyroid gland undifferentiated (anaplastic) carcinoma,disease-phenotype-protein-drug,indication,"['thyroid gland undifferentiated (anaplastic) carcinoma', 'Pain', 'ALB', 'Liothyronine']",0.5,"Question: Is thyroid gland undifferentiated (anaplastic) carcinoma an indication for Liothyronine?
Answer: YES"
15984,29078,Oxaprozin,rheumatoid arthritis,disease-phenotype-protein-drug,indication,"['rheumatoid arthritis', 'Fever', 'PTGS2', 'Oxaprozin']",0.5,"Question: Is rheumatoid arthritis an indication for Oxaprozin?
Answer: YES"
14603,28208,Chlorpropamide,type 2 diabetes mellitus,disease-protein-drug,indication,"['type 2 diabetes mellitus', 'ABCC8', 'Chlorpropamide']",0.5,"Question: Is type 2 diabetes mellitus an indication for Chlorpropamide?
Answer: YES"
15012,83796,Temsirolimus,lymphosarcoma,disease-protein-drug,indication,"['lymphosarcoma', 'MTOR', 'Temsirolimus']",0.5,"Question: Is lymphosarcoma an indication for Temsirolimus?
Answer: YES"
15295,33592,Triamterene,acidosis disorder,disease-phenotype-protein-drug,contraindication,"['acidosis disorder', 'Lactic acidosis', 'ATAD3A', 'Triamterene']",1.0,"Question: Is acidosis disorder an indication for Triamterene?
Answer: NO"
14789,29863,Daunorubicin,monocytic leukemia,disease-protein-drug,indication,"['monocytic leukemia', 'TOP2B', 'Daunorubicin']",0.5,"Question: Is monocytic leukemia an indication for Daunorubicin?
Answer: YES"
15493,32759,Bromocriptine,hemiparkinsonism-hemiatrophy syndrome,disease-phenotype-protein-drug,indication,"['hemiparkinsonism-hemiatrophy syndrome', 'Tremor', 'HTR1A', 'Bromocriptine']",0.5,"Question: Is hemiparkinsonism-hemiatrophy syndrome an indication for Bromocriptine?
Answer: YES"
14880,84229,Nicotine,nicotine dependence,disease-protein-drug,indication,"['nicotine dependence', 'CYP2A6', 'Nicotine']",0.5,"Question: Is nicotine dependence an indication for Nicotine?
Answer: YES"
14030,28830,Prednisolone,"leukemia, lymphocytic, susceptibility to",disease-protein-drug,indication,"['leukemia, lymphocytic, susceptibility to', 'ABCB1', 'Prednisolone']",0.5,"Question: Is leukemia, lymphocytic, susceptibility to an indication for Prednisolone?
Answer: YES"
14945,29646,Sorafenib,hepatocellular carcinoma,disease-phenotype-protein-drug,indication,"['hepatocellular carcinoma', 'Hepatomegaly', 'CYP1A2', 'Sorafenib']",0.5,"Question: Is hepatocellular carcinoma an indication for Sorafenib?
Answer: YES"
15087,38957,Venlafaxine,major depressive disorder,disease-protein-drug,indication,"['major depressive disorder', 'SLC6A4', 'Venlafaxine']",0.5,"Question: Is major depressive disorder an indication for Venlafaxine?
Answer: YES"
14034,37888,Budesonide,allergic rhinitis,disease-phenotype-protein-drug,indication,"['allergic rhinitis', 'Allergy', 'ALB', 'Budesonide']",0.5,"Question: Is allergic rhinitis an indication for Budesonide?
Answer: YES"
15200,33618,Vernakalant,atrial fibrillation (disease),disease-protein-drug,indication,"['atrial fibrillation (disease)', 'KCND3', 'Vernakalant']",0.5,"Question: Is atrial fibrillation (disease) an indication for Vernakalant?
Answer: YES"
14275,83821,Doxorubicin,malignant Sertoli-Leydig cell tumor of ovary,disease-protein-drug,indication,"['malignant Sertoli-Leydig cell tumor of ovary', 'CYP1B1', 'Doxorubicin']",0.5,"Question: Is malignant Sertoli-Leydig cell tumor of ovary an indication for Doxorubicin?
Answer: YES"
14792,37152,Paclitaxel,familial ovarian cancer,disease-protein-drug,indication,"['familial ovarian cancer', 'CYP1B1', 'Paclitaxel']",0.5,"Question: Is familial ovarian cancer an indication for Paclitaxel?
Answer: YES"
14806,31408,Entacapone,X-linked parkinsonism-spasticity syndrome,disease-protein-drug,indication,"['X-linked parkinsonism-spasticity syndrome', 'CYP2D6', 'Entacapone']",0.5,"Question: Is X-linked parkinsonism-spasticity syndrome an indication for Entacapone?
Answer: YES"
14340,29078,Magnesium salicylate,rheumatoid arthritis,disease-phenotype-protein-drug,indication,"['rheumatoid arthritis', 'Fever', 'PTGS2', 'Magnesium salicylate']",0.5,"Question: Is rheumatoid arthritis an indication for Magnesium salicylate?
Answer: YES"
14664,31918,Sapropterin,phenylketonuria,disease-protein-drug,indication,"['phenylketonuria', 'PAH', 'Sapropterin']",0.5,"Question: Is phenylketonuria an indication for Sapropterin?
Answer: YES"
15077,32531,Bortezomib,mantle cell lymphoma,disease-phenotype-protein-drug,indication,"['mantle cell lymphoma', 'Splenomegaly', 'CYP1A2', 'Bortezomib']",0.5,"Question: Is mantle cell lymphoma an indication for Bortezomib?
Answer: YES"
14737,37466,Carboplatin,ovarian small cell carcinoma,disease-protein-drug,indication,"['ovarian small cell carcinoma', 'ATP7B', 'Carboplatin']",0.5,"Question: Is ovarian small cell carcinoma an indication for Carboplatin?
Answer: YES"
