drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
14014,33675.0,Flunisolide,Flunisolide,disease-exposure-bioprocess-gene-drug,indication,"['asthma', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Flunisolide']",0.5
14014,35565.0,Flunisolide,Flunisolide,disease-exposure-bioprocess-gene-drug,contraindication,"['liver disease', 'perfluorooctane sulfonic acid', 'cholesterol metabolic process', 'CYP3A4', 'Flunisolide']",0.5
14014,37888.0,Flunisolide,Flunisolide,disease-exposure-bioprocess-gene-drug,indication,"['allergic rhinitis', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Flunisolide']",0.5
14017,33575.0,Fluorometholone,Fluorometholone,disease-exposure-bioprocess-gene-drug,contraindication,"['diabetes mellitus (disease)', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Fluorometholone']",0.5
14017,33581.0,Fluorometholone,Fluorometholone,disease-exposure-bioprocess-gene-drug,contraindication,"['conjunctivitis (disease)', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Fluorometholone']",0.5
14017,83830.0,Fluorometholone,Fluorometholone,disease-protein-drug,contraindication,"['ocular hypertension', 'NR3C1', 'Fluorometholone']",0.5
14018,33675.0,Beclomethasone dipropionate,Beclomethasone dipropionate,disease-exposure-bioprocess-gene-drug,indication,"['asthma', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14018,35565.0,Beclomethasone dipropionate,Beclomethasone dipropionate,disease-exposure-bioprocess-gene-drug,contraindication,"['liver disease', 'perfluorooctane sulfonic acid', 'cholesterol metabolic process', 'CYP3A4', 'Beclomethasone dipropionate']",0.5
14018,37811.0,Beclomethasone dipropionate,Beclomethasone dipropionate,disease-exposure-bioprocess-gene-drug,indication,"['rhinitis', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14018,37888.0,Beclomethasone dipropionate,Beclomethasone dipropionate,disease-exposure-bioprocess-gene-drug,indication,"['allergic rhinitis', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14018,83830.0,Beclomethasone dipropionate,Beclomethasone dipropionate,disease-protein-drug,contraindication,"['ocular hypertension', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14019,27219.0,Betamethasone,Betamethasone,disease-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'CYP19A1', 'Betamethasone']",0.5
14019,27249.0,Betamethasone,Betamethasone,disease-protein-drug,contraindication,"['isolated growth hormone deficiency', 'CYP19A1', 'Betamethasone']",0.5
14019,27741.0,Betamethasone,Betamethasone,disease-protein-drug,contraindication,"['pituitary deficiency due to empty sella turcica syndrome', 'CYP19A1', 'Betamethasone']",0.5
14019,28158.0,Betamethasone,Betamethasone,disease-protein-drug,indication,"['inflammatory bowel disease', 'ABCB1', 'Betamethasone']",0.5
14019,28407.0,Betamethasone,Betamethasone,disease-protein-drug,contraindication,"['hypogonadotropic hypogonadism', 'CYP19A1', 'Betamethasone']",0.5
14019,28478.0,Betamethasone,Betamethasone,disease-exposure-bioprocess-gene-drug,indication,"['autoimmune disease', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Betamethasone']",0.5
14019,28754.0,Betamethasone,Betamethasone,disease-phenotype-protein-drug,contraindication,"['autosomal recessive infantile hypercalcemia', 'Vomiting', 'ABCB1', 'Betamethasone']",0.5
14019,29078.0,Betamethasone,Betamethasone,disease-protein-drug,indication,"['rheumatoid arthritis', 'ABCB1', 'Betamethasone']",0.5
