drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'REN', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'NPHS2', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'AGT', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'DDIT3', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'ICAM1', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'SOD1', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'NES', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'DES', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'VIM', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'F2', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'HPSE', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'ITGB2', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'EDN1', 'Imatinib']",1
14207,35764,Imatinib,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'EDNRB', 'Imatinib']",1
15338,83909,Deferasirox,autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,disease-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to CXCR2 deficiency', 'TCN2', 'Deferasirox']",1
15338,83909,Deferasirox,autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,disease-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to CXCR2 deficiency', 'NQO2', 'Deferasirox']",1
15338,83909,Deferasirox,autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,disease-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to CXCR2 deficiency', 'CSF3', 'Deferasirox']",1
15338,83909,Deferasirox,autosomal recessive severe congenital neutropenia due to CXCR2 deficiency,disease-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to CXCR2 deficiency', 'CSF2', 'Deferasirox']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'APP', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'MAPT', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'CSF1R', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'TYROBP', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'FUS', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'SLC9A8', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'NOTCH3', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'HTRA1', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'DNMT1', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'COL4A1', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'CST3', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'CP', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'GRN', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'TREM2', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'PRNP', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'PSEN2', 'Chlorotrianisene']",1
14814,37573,Chlorotrianisene,dementia (disease),disease-protein-drug,contraindication,"['dementia (disease)', 'SLC6A3', 'Chlorotrianisene']",1
14980,83790,Metronidazole,gout,disease-protein-drug,contraindication,"['gout', 'POMC', 'Metronidazole']",1
14980,83790,Metronidazole,gout,disease-protein-drug,contraindication,"['gout', 'ALDH16A1', 'Metronidazole']",1
14980,83790,Metronidazole,gout,disease-protein-drug,contraindication,"['gout', 'SLC2A9', 'Metronidazole']",1
14980,83790,Metronidazole,gout,disease-protein-drug,contraindication,"['gout', 'IL1B', 'Metronidazole']",1
