drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
17232,27648.0,Triprolidine,familial glucocorticoid deficiency,disease-phenotype-protein-drug,contraindication,"['familial glucocorticoid deficiency', 'Recurrent infections', 'IL6ST', 'Triprolidine']",1.0,"Question: Is familial glucocorticoid deficiency an indication for Triprolidine?
Reasoning: <dppd>The disease familial glucocorticoid deficiency is associated with the phenotype Recurrent infections, which in turn affects the gene IL6ST. This gene is not targeted by the drug Triprolidine. These connections suggest that Triprolidine may not be effective in treating familial glucocorticoid deficiency.<dppd>
Answer: NO"
15001,28780.0,Paliperidone,Alzheimer disease,disease-phenotype-protein-drug,contraindication,"['Alzheimer disease', 'Seizure', 'DRD1', 'Paliperidone']",0.5,"Question: Is Alzheimer disease an indication for Paliperidone?
Reasoning: <dppd>The disease Alzheimer disease is associated with the phenotype Seizure, which in turn affects the gene DRD1. This gene is targeted by the drug Paliperidone. These connections suggest that Paliperidone may be effective in treating Alzheimer disease.<dppd>
Answer: YES"
20431,30813.0,Diiodohydroxyquinoline,Addison disease,disease-phenotype-protein-drug,contraindication,"['Addison disease', 'Muscle weakness', 'DMD', 'Diiodohydroxyquinoline']",1.0,"Question: Is Addison disease an indication for Diiodohydroxyquinoline?
Reasoning: <dppd>The disease Addison disease is associated with the phenotype Muscle weakness, which in turn affects the gene DMD. This gene is not targeted by the drug Diiodohydroxyquinoline. These connections suggest that Diiodohydroxyquinoline may not be effective in treating Addison disease.<dppd>
Answer: NO"
15451,33534.0,Bisoprolol,pediatric systemic lupus erythematosus,disease-phenotype-protein-drug,contraindication,"['pediatric systemic lupus erythematosus', 'Vomiting', 'ABCB1', 'Bisoprolol']",0.5,"Question: Is pediatric systemic lupus erythematosus an indication for Bisoprolol?
Reasoning: <dppd>The disease pediatric systemic lupus erythematosus is associated with the phenotype Vomiting, which in turn affects the gene ABCB1. This gene is targeted by the drug Bisoprolol. These connections suggest that Bisoprolol may be effective in treating pediatric systemic lupus erythematosus.<dppd>
Answer: YES"
14304,27219.0,Tolbutamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Seizure', 'ACAT1', 'Tolbutamide']",1.0,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolbutamide?
Reasoning: <dppd>The disease hypogonadotropic hypogonadism with or without anosmia is associated with the phenotype Seizure, which in turn affects the gene ACAT1. This gene is not targeted by the drug Tolbutamide. These connections suggest that Tolbutamide may not be effective in treating hypogonadotropic hypogonadism with or without anosmia.<dppd>
Answer: NO"
14304,27219.0,Tolbutamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Hearing impairment', 'SH3PXD2B', 'Tolbutamide']",1.0,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolbutamide?
Reasoning: <dppd>The disease hypogonadotropic hypogonadism with or without anosmia is associated with the phenotype Hearing impairment, which in turn affects the gene SH3PXD2B. This gene is not targeted by the drug Tolbutamide. These connections suggest that Tolbutamide may not be effective in treating hypogonadotropic hypogonadism with or without anosmia.<dppd>
Answer: NO"
14950,37888.0,Loratadine,allergic rhinitis,disease-protein-drug,indication,"['allergic rhinitis', 'HRH1', 'Loratadine']",0.5,"Question: Is allergic rhinitis an indication for Loratadine?
Reasoning: <dpd>The disease allergic rhinitis is associated with the gene HRH1, which is targeted by the drug Loratadine. These connections suggest that Loratadine may be effective in treating allergic rhinitis.<dpd>
Answer: YES"
14943,29646.0,Levonorgestrel,hepatocellular carcinoma,disease-phenotype-protein-drug,contraindication,"['hepatocellular carcinoma', 'Elevated hepatic transaminase', 'TYROBP', 'Levonorgestrel']",1.0,"Question: Is hepatocellular carcinoma an indication for Levonorgestrel?
Reasoning: <dppd>The disease hepatocellular carcinoma is associated with the phenotype Elevated hepatic transaminase, which in turn affects the gene TYROBP. This gene is not targeted by the drug Levonorgestrel. These connections suggest that Levonorgestrel may not be effective in treating hepatocellular carcinoma.<dppd>
Answer: NO"
14726,83760.0,Melatonin,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'ASMT', 'Melatonin']",0.5,"Question: Is dysthymic disorder an indication for Melatonin?
Reasoning: <dpd>The disease dysthymic disorder is associated with the gene ASMT, which is targeted by the drug Melatonin. These connections suggest that Melatonin may be effective in treating dysthymic disorder.<dpd>
Answer: YES"
20263,29352.0,Ganciclovir,cyclic hematopoiesis,disease-phenotype-protein-drug,contraindication,"['cyclic hematopoiesis', 'Fever', 'IL1A', 'Ganciclovir']",1.0,"Question: Is cyclic hematopoiesis an indication for Ganciclovir?
Reasoning: <dppd>The disease cyclic hematopoiesis is associated with the phenotype Fever, which in turn affects the gene IL1A. This gene is not targeted by the drug Ganciclovir. These connections suggest that Ganciclovir may not be effective in treating cyclic hematopoiesis.<dppd>
Answer: NO"
