drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
14287.0,33605.0,Ibuprofen,hypotensive disorder,disease-protein-drug,contraindication,"['hypotensive disorder', 'ALB', 'Ibuprofen']",0.5,"Question: Is hypotensive disorder an indication for Ibuprofen?
Reasoning: <dgd>The disease hypotensive disorder is associated with the gene ALB, which is targeted by the drug Ibuprofen. These connections suggest that Ibuprofen may be effective in treating hypotensive disorder.<dgd>
Answer: NO"
14227.0,29078.0,Etodolac,rheumatoid arthritis,disease-phenotype-protein-drug,indication,"['rheumatoid arthritis', 'Fever', 'PTGS2', 'Etodolac']",0.5,"Question: Is rheumatoid arthritis an indication for Etodolac?
Reasoning: <dpgd>The disease rheumatoid arthritis is associated with the phenotype Fever, which in turn affects the gene PTGS2. This gene is targeted by the drug Etodolac. These connections suggest that Etodolac may be effective in treating rheumatoid arthritis.<dpgd>
Answer: YES"
14726.0,37703.0,Melatonin,neurotic disorder,disease-protein-drug,contraindication,"['neurotic disorder', 'ASMT', 'Melatonin']",0.5,"Question: Is neurotic disorder an indication for Melatonin?
Reasoning: <dgd>The disease neurotic disorder is associated with the gene ASMT, which is targeted by the drug Melatonin. These connections suggest that Melatonin may be effective in treating neurotic disorder.<dgd>
Answer: NO"
14167.0,83845.0,Ampicillin,viral meningitis,disease-protein-drug,indication,"['viral meningitis', 'ALB', 'Ampicillin']",0.5,"Question: Is viral meningitis an indication for Ampicillin?
Reasoning: <dgd>The disease viral meningitis is associated with the gene ALB, which is targeted by the drug Ampicillin. These connections suggest that Ampicillin may be effective in treating viral meningitis.<dgd>
Answer: YES"
14789.0,36229.0,Daunorubicin,agranulocytosis,disease-protein-drug,contraindication,"['agranulocytosis', 'ABCB1', 'Daunorubicin']",0.5,"Question: Is agranulocytosis an indication for Daunorubicin?
Reasoning: <dgd>The disease agranulocytosis is associated with the gene ABCB1, which is targeted by the drug Daunorubicin. These connections suggest that Daunorubicin may be effective in treating agranulocytosis.<dgd>
Answer: NO"
14833.0,33605.0,Riboflavin,hypotensive disorder,disease-protein-drug,contraindication,"['hypotensive disorder', 'MAOA', 'Riboflavin']",0.5,"Question: Is hypotensive disorder an indication for Riboflavin?
Reasoning: <dgd>The disease hypotensive disorder is associated with the gene MAOA, which is targeted by the drug Riboflavin. These connections suggest that Riboflavin may be effective in treating hypotensive disorder.<dgd>
Answer: NO"
14945.0,28640.0,Sorafenib,nonpapillary renal cell carcinoma,disease-protein-drug,indication,"['nonpapillary renal cell carcinoma', 'FLT4', 'Sorafenib']",0.5,"Question: Is nonpapillary renal cell carcinoma an indication for Sorafenib?
Reasoning: <dgd>The disease nonpapillary renal cell carcinoma is associated with the gene FLT4, which is targeted by the drug Sorafenib. These connections suggest that Sorafenib may be effective in treating nonpapillary renal cell carcinoma.<dgd>
Answer: YES"
14230.0,33678.0,Tetracycline,glomerulonephritis,disease-protein-drug,contraindication,"['glomerulonephritis', 'ALB', 'Tetracycline']",0.5,"Question: Is glomerulonephritis an indication for Tetracycline?
Reasoning: <dgd>The disease glomerulonephritis is associated with the gene ALB, which is targeted by the drug Tetracycline. These connections suggest that Tetracycline may be effective in treating glomerulonephritis.<dgd>
Answer: NO"
15462.0,32875.0,Esomeprazole,Zollinger-Ellison syndrome,disease-phenotype-protein-drug,indication,"['Zollinger-Ellison syndrome', 'Nausea', 'ABCB1', 'Esomeprazole']",0.5,"Question: Is Zollinger-Ellison syndrome an indication for Esomeprazole?
Reasoning: <dpgd>The disease Zollinger-Ellison syndrome is associated with the phenotype Nausea, which in turn affects the gene ABCB1. This gene is targeted by the drug Esomeprazole. These connections suggest that Esomeprazole may be effective in treating Zollinger-Ellison syndrome.<dpgd>
Answer: YES"
14149.0,30827.0,Etonogestrel,endometrial cancer,disease-protein-drug,contraindication,"['endometrial cancer', 'PGR', 'Etonogestrel']",0.5,"Question: Is endometrial cancer an indication for Etonogestrel?
Reasoning: <dgd>The disease endometrial cancer is associated with the gene PGR, which is targeted by the drug Etonogestrel. These connections suggest that Etonogestrel may be effective in treating endometrial cancer.<dgd>
Answer: NO"
15263.0,83859.0,Enasidenib,acute myeloid leukemia with t(9;11)(p22;q23),disease-protein-drug,indication,"['acute myeloid leukemia with t(9;11)(p22;q23)', 'IDH2', 'Enasidenib']",0.5,"Question: Is acute myeloid leukemia with t(9;11)(p22;q23) an indication for Enasidenib?
Reasoning: <dgd>The disease acute myeloid leukemia with t(9;11)(p22;q23) is associated with the gene IDH2, which is targeted by the drug Enasidenib. These connections suggest that Enasidenib may be effective in treating acute myeloid leukemia with t(9;11)(p22;q23).<dgd>
Answer: YES"
