drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
20302,32384.0,Potassium Iodide,adrenal insufficiency,disease-phenotype-protein-drug,contraindication,"['adrenal insufficiency', 'Seizure', 'ABCC2', 'Potassium Iodide']",1.0,"Question: Is adrenal insufficiency an indication for Potassium Iodide?
Reasoning: The disease adrenal insufficiency is associated with the phenotype Seizure, which in turn affects the gene ABCC2. This gene is not targeted by the drug Potassium Iodide. These connections suggest that Potassium Iodide may not be effective in treating adrenal insufficiency.
Answer: NO"
14227,29078.0,Etodolac,rheumatoid arthritis,disease-phenotype-protein-drug,indication,"['rheumatoid arthritis', 'Fever', 'PTGS2', 'Etodolac']",0.5,"Question: Is rheumatoid arthritis an indication for Etodolac?
Reasoning: The disease rheumatoid arthritis is associated with the phenotype Fever, which in turn affects the gene PTGS2. This gene is targeted by the drug Etodolac. These connections suggest that Etodolac may be effective in treating rheumatoid arthritis.
Answer: YES"
14176,29494.0,Fluoxetine,autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,disease-phenotype-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to G6PC3 deficiency', 'Hepatomegaly', 'NR1H4', 'Fluoxetine']",1.0,"Question: Is autosomal recessive severe congenital neutropenia due to G6PC3 deficiency an indication for Fluoxetine?
Reasoning: The disease autosomal recessive severe congenital neutropenia due to G6PC3 deficiency is associated with the phenotype Hepatomegaly, which in turn affects the gene NR1H4. This gene is not targeted by the drug Fluoxetine. These connections suggest that Fluoxetine may not be effective in treating autosomal recessive severe congenital neutropenia due to G6PC3 deficiency.
Answer: NO"
14167,83845.0,Ampicillin,viral meningitis,disease-protein-drug,indication,"['viral meningitis', 'ALB', 'Ampicillin']",0.5,"Question: Is viral meningitis an indication for Ampicillin?
Reasoning: The disease viral meningitis is associated with the gene ALB, which is targeted by the drug Ampicillin. These connections suggest that Ampicillin may be effective in treating viral meningitis.
Answer: YES"
15778,27219.0,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Seizure', 'NRP2', 'Tolazamide']",1.0,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Reasoning: The disease hypogonadotropic hypogonadism with or without anosmia is associated with the phenotype Seizure, which in turn affects the gene NRP2. This gene is not targeted by the drug Tolazamide. These connections suggest that Tolazamide may not be effective in treating hypogonadotropic hypogonadism with or without anosmia.
Answer: NO"
16014,28780.0,Chlorprothixene,Alzheimer disease,disease-phenotype-protein-drug,contraindication,"['Alzheimer disease', 'Seizure', 'FA2H', 'Chlorprothixene']",1.0,"Question: Is Alzheimer disease an indication for Chlorprothixene?
Reasoning: The disease Alzheimer disease is associated with the phenotype Seizure, which in turn affects the gene FA2H. This gene is not targeted by the drug Chlorprothixene. These connections suggest that Chlorprothixene may not be effective in treating Alzheimer disease.
Answer: NO"
14945,28640.0,Sorafenib,nonpapillary renal cell carcinoma,disease-protein-drug,indication,"['nonpapillary renal cell carcinoma', 'FLT4', 'Sorafenib']",0.5,"Question: Is nonpapillary renal cell carcinoma an indication for Sorafenib?
Reasoning: The disease nonpapillary renal cell carcinoma is associated with the gene FLT4, which is targeted by the drug Sorafenib. These connections suggest that Sorafenib may be effective in treating nonpapillary renal cell carcinoma.
Answer: YES"
20302,32384.0,Potassium Iodide,adrenal insufficiency,disease-phenotype-protein-drug,contraindication,"['adrenal insufficiency', 'Weight loss', 'ATG5', 'Potassium Iodide']",1.0,"Question: Is adrenal insufficiency an indication for Potassium Iodide?
Reasoning: The disease adrenal insufficiency is associated with the phenotype Weight loss, which in turn affects the gene ATG5. This gene is not targeted by the drug Potassium Iodide. These connections suggest that Potassium Iodide may not be effective in treating adrenal insufficiency.
Answer: NO"
15462,32875.0,Esomeprazole,Zollinger-Ellison syndrome,disease-phenotype-protein-drug,indication,"['Zollinger-Ellison syndrome', 'Nausea', 'ABCB1', 'Esomeprazole']",0.5,"Question: Is Zollinger-Ellison syndrome an indication for Esomeprazole?
Reasoning: The disease Zollinger-Ellison syndrome is associated with the phenotype Nausea, which in turn affects the gene ABCB1. This gene is targeted by the drug Esomeprazole. These connections suggest that Esomeprazole may be effective in treating Zollinger-Ellison syndrome.
Answer: YES"
15778,27219.0,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Seizure', 'PIGP', 'Tolazamide']",1.0,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Reasoning: The disease hypogonadotropic hypogonadism with or without anosmia is associated with the phenotype Seizure, which in turn affects the gene PIGP. This gene is not targeted by the drug Tolazamide. These connections suggest that Tolazamide may not be effective in treating hypogonadotropic hypogonadism with or without anosmia.
Answer: NO"
