drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
15078.0,36693.0,Tramadol,substance-related disorder,disease-protein-drug,contraindication,"['substance-related disorder', 'OPRM1', 'Tramadol']",0.5,"Question: Is substance-related disorder an indication for Tramadol?
Answer: NO"
14904.0,28974.0,Safinamide,early-onset parkinsonism-intellectual disability syndrome,disease-protein-drug,indication,"['early-onset parkinsonism-intellectual disability syndrome', 'MAOB', 'Safinamide']",0.5,"Question: Is early-onset parkinsonism-intellectual disability syndrome an indication for Safinamide?
Answer: YES"
14336.0,30274.0,Ephedrine,HELLP syndrome,disease-phenotype-protein-drug,contraindication,"['HELLP syndrome', 'Thrombocytopenia', 'ALB', 'Ephedrine']",0.5,"Question: Is HELLP syndrome an indication for Ephedrine?
Answer: NO"
14476.0,83818.0,Testosterone cypionate,primary non-gestational choriocarcinoma of ovary,disease-protein-drug,contraindication,"['primary non-gestational choriocarcinoma of ovary', 'ESR1', 'Testosterone cypionate']",0.5,"Question: Is primary non-gestational choriocarcinoma of ovary an indication for Testosterone cypionate?
Answer: NO"
14314.0,33605.0,Naloxone,hypotensive disorder,disease-protein-drug,contraindication,"['hypotensive disorder', 'ALB', 'Naloxone']",0.5,"Question: Is hypotensive disorder an indication for Naloxone?
Answer: NO"
15100.0,28396.0,Prochlorperazine,multiple system atrophy,disease-phenotype-protein-drug,contraindication,"['multiple system atrophy', 'Resting tremor', 'CYP2D6', 'Prochlorperazine']",0.5,"Question: Is multiple system atrophy an indication for Prochlorperazine?
Answer: NO"
15497.0,84242.0,Levacetylmethadol,morphine dependence,disease-protein-drug,indication,"['morphine dependence', 'OPRM1', 'Levacetylmethadol']",0.5,"Question: Is morphine dependence an indication for Levacetylmethadol?
Answer: YES"
14213.0,37150.0,Tamoxifen,malignant non-dysgerminomatous germ cell tumor of ovary,disease-protein-drug,off-label use,"['malignant non-dysgerminomatous germ cell tumor of ovary', 'ESR1', 'Tamoxifen']",0.5,"Question: Is malignant non-dysgerminomatous germ cell tumor of ovary an indication for Tamoxifen?
Answer: NO"
14249.0,28714.0,Pseudoephedrine,cystic fibrosis,disease-phenotype-protein-drug,contraindication,"['cystic fibrosis', 'Hepatomegaly', 'ALB', 'Pseudoephedrine']",0.5,"Question: Is cystic fibrosis an indication for Pseudoephedrine?
Answer: NO"
14275.0,36792.0,Doxorubicin,ovarian mucinous adenocarcinoma,disease-protein-drug,indication,"['ovarian mucinous adenocarcinoma', 'CYP1B1', 'Doxorubicin']",0.5,"Question: Is ovarian mucinous adenocarcinoma an indication for Doxorubicin?
Answer: YES"
15837.0,37703.0,Methsuximide,neurotic disorder,disease-protein-drug,contraindication,"['neurotic disorder', 'CYP2C19', 'Methsuximide']",0.5,"Question: Is neurotic disorder an indication for Methsuximide?
Answer: NO"
14019.0,32905.0,Betamethasone,Sheehan syndrome,disease-protein-drug,contraindication,"['Sheehan syndrome', 'CYP19A1', 'Betamethasone']",0.5,"Question: Is Sheehan syndrome an indication for Betamethasone?
Answer: NO"
14845.0,29182.0,Procaine,systemic lupus erythematosus (disease),disease-phenotype-protein-drug,contraindication,"['systemic lupus erythematosus (disease)', 'Thrombocytopenia', 'ASPG', 'Procaine']",0.5,"Question: Is systemic lupus erythematosus (disease) an indication for Procaine?
Answer: NO"
16687.0,33025.0,Fosinopril,connective tissue disease,disease-phenotype-protein-drug,contraindication,"['connective tissue disease', 'Pulmonary arterial hypertension', 'ACE', 'Fosinopril']",0.5,"Question: Is connective tissue disease an indication for Fosinopril?
Answer: NO"
14128.0,28042.0,Ascorbic acid,hyperkalemic periodic paralysis,disease-phenotype-protein-drug,contraindication,"['hyperkalemic periodic paralysis', 'Respiratory insufficiency', 'SLC23A1', 'Ascorbic acid']",0.5,"Question: Is hyperkalemic periodic paralysis an indication for Ascorbic acid?
Answer: NO"
14161.0,28780.0,Olanzapine,Alzheimer disease,disease-protein-drug,contraindication,"['Alzheimer disease', 'CYP2D6', 'Olanzapine']",0.5,"Question: Is Alzheimer disease an indication for Olanzapine?
Answer: NO"
14019.0,32967.0,Betamethasone,sarcoidosis,disease-phenotype-protein-drug,indication,"['sarcoidosis', 'Hepatomegaly', 'ALB', 'Betamethasone']",0.5,"Question: Is sarcoidosis an indication for Betamethasone?
Answer: YES"
17062.0,31732.0,Butalbital,myxedema,disease-phenotype-protein-drug,contraindication,"['myxedema', 'Memory impairment', 'GABRA5', 'Butalbital']",0.5,"Question: Is myxedema an indication for Butalbital?
Answer: NO"
14154.0,37765.0,Acetaminophen,cirrhosis of liver,disease-protein-drug,contraindication,"['cirrhosis of liver', 'ALB', 'Acetaminophen']",0.5,"Question: Is cirrhosis of liver an indication for Acetaminophen?
Answer: NO"
15912.0,35669.0,Arginine,heart disease,disease-protein-drug,contraindication,"['heart disease', 'SLC22A4', 'Arginine']",0.5,"Question: Is heart disease an indication for Arginine?
Answer: NO"
15274.0,30035.0,Benzphetamine,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'ADRA2A', 'Benzphetamine']",0.5,"Question: Is substance abuse/dependence an indication for Benzphetamine?
Answer: NO"
16689.0,28231.0,Moexipril,supravalvular aortic stenosis (disease),disease-phenotype-protein-drug,contraindication,"['supravalvular aortic stenosis (disease)', 'Arrhythmia', 'ACE', 'Moexipril']",0.5,"Question: Is supravalvular aortic stenosis (disease) an indication for Moexipril?
Answer: NO"
,,,,,,,,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolbutamide?
Answer: NO"
15133.0,37703.0,Pindolol,neurotic disorder,disease-protein-drug,contraindication,"['neurotic disorder', 'HTR1B', 'Pindolol']",0.5,"Question: Is neurotic disorder an indication for Pindolol?
Answer: NO"
14211.0,35738.0,Estrone,endometrial carcinoma (disease),disease-protein-drug,contraindication,"['endometrial carcinoma (disease)', 'ESR2', 'Estrone']",0.5,"Question: Is endometrial carcinoma (disease) an indication for Estrone?
Answer: NO"
14314.0,30813.0,Naloxone,Addison disease,disease-phenotype-protein-drug,contraindication,"['Addison disease', 'Seizure', 'OPRM1', 'Naloxone']",0.5,"Question: Is Addison disease an indication for Naloxone?
Answer: NO"
16220.0,39773.0,Dinoprostone,allergic asthma,disease-protein-drug,contraindication,"['allergic asthma', 'PTGDR2', 'Dinoprostone']",0.5,"Question: Is allergic asthma an indication for Dinoprostone?
Answer: NO"
15892.0,31502.0,Ferric maltol,Wilson disease,disease-phenotype-protein-drug,contraindication,"['Wilson disease', 'Thrombocytopenia', 'ITGB3', 'Ferric maltol']",0.5,"Question: Is Wilson disease an indication for Ferric maltol?
Answer: NO"
15979.0,27361.0,Coagulation Factor IX Human,hemophilia,disease-protein-drug,indication,"['hemophilia', 'F8', 'Coagulation Factor IX Human']",0.5,"Question: Is hemophilia an indication for Coagulation Factor IX Human?
Answer: YES"
14190.0,33104.0,Fluorouracil,carcinoid syndrome,disease-phenotype-protein-drug,off-label use,"['carcinoid syndrome', 'Elevated hepatic transaminase', 'MTHFR', 'Fluorouracil']",0.5,"Question: Is carcinoid syndrome an indication for Fluorouracil?
Answer: NO"
17583.0,36265.0,Etanercept,spondyloarthropathy,disease-protein-drug,indication,"['spondyloarthropathy', 'FCGR1A', 'Etanercept']",0.5,"Question: Is spondyloarthropathy an indication for Etanercept?
Answer: YES"
14178.0,28547.0,Chlorpromazine,Parkinson disease,disease-protein-drug,contraindication,"['Parkinson disease', 'CYP2E1', 'Chlorpromazine']",0.5,"Question: Is Parkinson disease an indication for Chlorpromazine?
Answer: NO"
14977.0,27326.0,Ondansetron,long QT syndrome,disease-phenotype-protein-drug,contraindication,"['long QT syndrome', 'Tachycardia', 'HTR4', 'Ondansetron']",0.5,"Question: Is long QT syndrome an indication for Ondansetron?
Answer: NO"
