drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
16344,37785.0,Ferrous gluconate,ulcerative colitis (disease),disease-protein-drug,contraindication,"['ulcerative colitis (disease)', 'HERC2', 'Ferrous gluconate']",1.0,"Question: Is ulcerative colitis (disease) an indication for Ferrous gluconate?
Answer: NO"
15876,37785.0,Mesalazine,Mesalazine,disease-protein-drug,indication,"['ulcerative colitis (disease)', 'MPO', 'Mesalazine']",0.5,"Question: Is Mesalazine an indication for Mesalazine?
Answer: YES"
14794,35958.0,Dasatinib,hemoglobinopathy,disease-protein-drug,contraindication,"['hemoglobinopathy', 'ESR1', 'Dasatinib']",1.0,"Question: Is hemoglobinopathy an indication for Dasatinib?
Answer: NO"
14813,28208.0,Troglitazone,Troglitazone,disease-protein-drug,indication,"['type 2 diabetes mellitus', 'PPARA', 'Troglitazone']",0.5,"Question: Is Troglitazone an indication for Troglitazone?
Answer: YES"
14640,36104.0,Propylthiouracil,neutropenia,disease-protein-drug,contraindication,"['neutropenia', 'JAGN1', 'Propylthiouracil']",1.0,"Question: Is neutropenia an indication for Propylthiouracil?
Answer: NO"
14058,36187.0,Diethylstilbestrol,coronary artery disease,disease-protein-drug,contraindication,"['coronary artery disease', 'APOB', 'Diethylstilbestrol']",1.0,"Question: Is coronary artery disease an indication for Diethylstilbestrol?
Answer: NO"
14141,39815.0,Phenytoin,Phenytoin,disease-protein-drug,indication,"['visual epilepsy', 'ABCC2', 'Phenytoin']",0.5,"Question: Is Phenytoin an indication for Phenytoin?
Answer: YES"
16793,32629.0,Chlorothiazide,familial intrahepatic cholestasis,disease-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'IL6', 'Chlorothiazide']",1.0,"Question: Is familial intrahepatic cholestasis an indication for Chlorothiazide?
Answer: NO"
20133,83760.0,Ethyl loflazepate,Ethyl loflazepate,disease-protein-drug,indication,"['dysthymic disorder', 'GABRB3', 'Ethyl loflazepate']",0.5,"Question: Is Ethyl loflazepate an indication for Ethyl loflazepate?
Answer: YES"
16793,32629.0,Chlorothiazide,familial intrahepatic cholestasis,disease-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'SLC23A1', 'Chlorothiazide']",1.0,"Question: Is familial intrahepatic cholestasis an indication for Chlorothiazide?
Answer: NO"
14383,27664.0,Oxymetholone,Oxymetholone,disease-phenotype-protein-drug,indication,"['idiopathic aplastic anemia', 'Thrombocytopenia', 'ALB', 'Oxymetholone']",0.5,"Question: Is Oxymetholone an indication for Oxymetholone?
Answer: YES"
16066,38784.0,Brompheniramine,Graves disease,disease-protein-drug,contraindication,"['Graves disease', 'SOD1', 'Brompheniramine']",1.0,"Question: Is Graves disease an indication for Brompheniramine?
Answer: NO"
14174,36544.0,Acitretin,drug-induced liver injury,disease-protein-drug,contraindication,"['drug-induced liver injury', 'SENP2', 'Acitretin']",1.0,"Question: Is drug-induced liver injury an indication for Acitretin?
Answer: NO"
15770,33575.0,Glimepiride,Glimepiride,disease-protein-drug,indication,"['diabetes mellitus (disease)', 'KCNJ11', 'Glimepiride']",0.5,"Question: Is Glimepiride an indication for Glimepiride?
Answer: YES"
14223,31912.0,Risperidone,Risperidone,disease-protein-drug,indication,"['autism susceptibility 1', 'HTR1D', 'Risperidone']",0.5,"Question: Is Risperidone an indication for Risperidone?
Answer: YES"
15493,33241.0,Bromocriptine,Bromocriptine,disease-protein-drug,indication,"['hereditary late onset Parkinson disease', 'ABCB1', 'Bromocriptine']",0.5,"Question: Is Bromocriptine an indication for Bromocriptine?
Answer: YES"
17561,33675.0,Bitolterol,Bitolterol,disease-protein-drug,indication,"['asthma', 'ADRB2', 'Bitolterol']",0.5,"Question: Is Bitolterol an indication for Bitolterol?
Answer: YES"
14320,84154.0,Dexamethasone,Dexamethasone,disease-protein-drug,indication,"['primary cutaneous diffuse large B-cell lymphoma, Leg type', 'ABCB1', 'Dexamethasone']",0.5,"Question: Is Dexamethasone an indication for Dexamethasone?
Answer: YES"
14174,36544.0,Acitretin,drug-induced liver injury,disease-protein-drug,contraindication,"['drug-induced liver injury', 'IL18', 'Acitretin']",1.0,"Question: Is drug-induced liver injury an indication for Acitretin?
Answer: NO"
18036,33575.0,Bacitracin,diabetes mellitus (disease),disease-protein-drug,contraindication,"['diabetes mellitus (disease)', 'MIR1260B', 'Bacitracin']",1.0,"Question: Is diabetes mellitus (disease) an indication for Bacitracin?
Answer: NO"
17583,32325.0,Etanercept,Etanercept,disease-protein-drug,indication,"['juvenile idiopathic arthritis', 'FCGR1A', 'Etanercept']",0.5,"Question: Is Etanercept an indication for Etanercept?
Answer: YES"
14058,36187.0,Diethylstilbestrol,coronary artery disease,disease-protein-drug,contraindication,"['coronary artery disease', 'MAPK14', 'Diethylstilbestrol']",1.0,"Question: Is coronary artery disease an indication for Diethylstilbestrol?
Answer: NO"
14794,35958.0,Dasatinib,hemoglobinopathy,disease-protein-drug,contraindication,"['hemoglobinopathy', 'LGALS3', 'Dasatinib']",1.0,"Question: Is hemoglobinopathy an indication for Dasatinib?
Answer: NO"
15778,27219.0,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'ANOS1', 'Tolazamide']",1.0,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Answer: NO"
18036,33575.0,Bacitracin,diabetes mellitus (disease),disease-protein-drug,contraindication,"['diabetes mellitus (disease)', 'MIR204', 'Bacitracin']",1.0,"Question: Is diabetes mellitus (disease) an indication for Bacitracin?
Answer: NO"
16268,37764.0,Fenofibric acid,Fenofibric acid,disease-protein-drug,indication,"['familial hyperlipidemia', 'PPARA', 'Fenofibric acid']",0.5,"Question: Is Fenofibric acid an indication for Fenofibric acid?
Answer: YES"
16014,28780.0,Chlorprothixene,Alzheimer disease,disease-protein-drug,contraindication,"['Alzheimer disease', 'SNAR-I', 'Chlorprothixene']",1.0,"Question: Is Alzheimer disease an indication for Chlorprothixene?
Answer: NO"
16842,33241.0,Pramipexole,Pramipexole,disease-protein-drug,indication,"['hereditary late onset Parkinson disease', 'DRD2', 'Pramipexole']",0.5,"Question: Is Pramipexole an indication for Pramipexole?
Answer: YES"
16842,28547.0,Pramipexole,Pramipexole,disease-protein-drug,indication,"['Parkinson disease', 'DRD2', 'Pramipexole']",0.5,"Question: Is Pramipexole an indication for Pramipexole?
Answer: YES"
