drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
15868.0,29113.0,Isoprenaline,diabetic ketoacidosis,disease-phenotype-protein-drug,contraindication,"['diabetic ketoacidosis', 'Insulin resistance', 'ADRB2', 'Isoprenaline']",0.0013625307839861,"Question: Is diabetic ketoacidosis an indication for Isoprenaline?
Reasoning: <dpgd>The disease diabetic ketoacidosis is associated with the phenotype Insulin resistance, which in turn affects the gene ADRB2. This gene is targeted by the drug Isoprenaline. These connections suggest that Isoprenaline may be effective in treating diabetic ketoacidosis.<dpgd>
Answer: NO"
18695.0,83812.0,Eptifibatide,acute coronary syndrome,disease-protein-drug,indication,"['acute coronary syndrome', 'ITGB3', 'Eptifibatide']",0.0005163334891428,"Question: Is acute coronary syndrome an indication for Eptifibatide?
Reasoning: <dgd>The disease acute coronary syndrome is associated with the gene ITGB3, which is targeted by the drug Eptifibatide. These connections suggest that Eptifibatide may be effective in treating acute coronary syndrome.<dgd>
Answer: YES"
14182.0,36693.0,Oxycodone,substance-related disorder,disease-protein-drug,contraindication,"['substance-related disorder', 'OPRM1', 'Oxycodone']",0.0010149802686694,"Question: Is substance-related disorder an indication for Oxycodone?
Reasoning: <dgd>The disease substance-related disorder is associated with the gene OPRM1, which is targeted by the drug Oxycodone. These connections suggest that Oxycodone may be effective in treating substance-related disorder.<dgd>
Answer: NO"
14962.0,27933.0,Trazodone,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'HTR1A', 'Trazodone']",0.0010794001698012,"Question: Is anxiety disorder an indication for Trazodone?
Reasoning: <dgd>The disease anxiety disorder is associated with the gene HTR1A, which is targeted by the drug Trazodone. These connections suggest that Trazodone may be effective in treating anxiety disorder.<dgd>
Answer: YES"
15098.0,28780.0,Promazine,Alzheimer disease,disease-phenotype-protein-drug,contraindication,"['Alzheimer disease', 'Memory impairment', 'CHRM1', 'Promazine']",0.0009156270312759,"Question: Is Alzheimer disease an indication for Promazine?
Reasoning: <dpgd>The disease Alzheimer disease is associated with the phenotype Memory impairment, which in turn affects the gene CHRM1. This gene is targeted by the drug Promazine. These connections suggest that Promazine may be effective in treating Alzheimer disease.<dpgd>
Answer: NO"
15173.0,38242.0,Dextroamphetamine,bipolar disorder,disease-protein-drug,contraindication,"['bipolar disorder', 'SLC18A2', 'Dextroamphetamine']",0.000500946188158,"Question: Is bipolar disorder an indication for Dextroamphetamine?
Reasoning: <dgd>The disease bipolar disorder is associated with the gene SLC18A2, which is targeted by the drug Dextroamphetamine. These connections suggest that Dextroamphetamine may be effective in treating bipolar disorder.<dgd>
Answer: NO"
15193.0,28547.0,Rotigotine,Parkinson disease,disease-protein-drug,indication,"['Parkinson disease', 'DRD1', 'Rotigotine']",0.0006437851231621,"Question: Is Parkinson disease an indication for Rotigotine?
Reasoning: <dgd>The disease Parkinson disease is associated with the gene DRD1, which is targeted by the drug Rotigotine. These connections suggest that Rotigotine may be effective in treating Parkinson disease.<dgd>
Answer: YES"
15493.0,30274.0,Bromocriptine,HELLP syndrome,disease-phenotype-protein-drug,contraindication,"['HELLP syndrome', 'Seizure', 'HTR1A', 'Bromocriptine']",0.0034600159281335,"Question: Is HELLP syndrome an indication for Bromocriptine?
Reasoning: <dpgd>The disease HELLP syndrome is associated with the phenotype Seizure, which in turn affects the gene HTR1A. This gene is targeted by the drug Bromocriptine. These connections suggest that Bromocriptine may be effective in treating HELLP syndrome.<dpgd>
Answer: NO"
14194.0,30075.0,Methotrexate,Burkitt lymphoma,disease-protein-drug,indication,"['Burkitt lymphoma', 'FPGS', 'Methotrexate']",0.0017391329769402,"Question: Is Burkitt lymphoma an indication for Methotrexate?
Reasoning: <dgd>The disease Burkitt lymphoma is associated with the gene FPGS, which is targeted by the drug Methotrexate. These connections suggest that Methotrexate may be effective in treating Burkitt lymphoma.<dgd>
Answer: YES"
15112.0,33306.0,Dextropropoxyphene,necrotizing enterocolitis,disease-phenotype-protein-drug,contraindication,"['necrotizing enterocolitis', 'Bradycardia', 'CYP2D6', 'Dextropropoxyphene']",0.0020509314081441,"Question: Is necrotizing enterocolitis an indication for Dextropropoxyphene?
Reasoning: <dpgd>The disease necrotizing enterocolitis is associated with the phenotype Bradycardia, which in turn affects the gene CYP2D6. This gene is targeted by the drug Dextropropoxyphene. These connections suggest that Dextropropoxyphene may be effective in treating necrotizing enterocolitis.<dpgd>
Answer: NO"
