drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
14176,29494,Fluoxetine,autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,disease-phenotype-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to G6PC3 deficiency', 'Hepatomegaly', 'AHR', 'Fluoxetine']",0.0114749101861167,"Question: Is autosomal recessive severe congenital neutropenia due to G6PC3 deficiency an indication for Fluoxetine?
Reasoning: The disease autosomal recessive severe congenital neutropenia due to G6PC3 deficiency is associated with the phenotype Hepatomegaly, which in turn affects the gene AHR. This gene is not targeted by the drug Fluoxetine. These connections suggest that Fluoxetine may not be effective in treating autosomal recessive severe congenital neutropenia due to G6PC3 deficiency.
Answer: NO"
18695,83812,Eptifibatide,acute coronary syndrome,disease-protein-drug,indication,"['acute coronary syndrome', 'ITGB3', 'Eptifibatide']",0.0005163334891428,"Question: Is acute coronary syndrome an indication for Eptifibatide?
Reasoning: The disease acute coronary syndrome is associated with the gene ITGB3, which is targeted by the drug Eptifibatide. These connections suggest that Eptifibatide may be effective in treating acute coronary syndrome.
Answer: YES"
15001,33679,Paliperidone,potassium deficiency disease,disease-protein-drug,contraindication,"['potassium deficiency disease', 'AGT', 'Paliperidone']",0.0010468917293835,"Question: Is potassium deficiency disease an indication for Paliperidone?
Reasoning: The disease potassium deficiency disease is associated with the gene AGT, which is not targeted by the drug Paliperidone. These connections suggest that Paliperidone may not be effective in treating potassium deficiency disease.
Answer: NO"
14962,27933,Trazodone,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'HTR1A', 'Trazodone']",0.0010794001698012,"Question: Is anxiety disorder an indication for Trazodone?
Reasoning: The disease anxiety disorder is associated with the gene HTR1A, which is targeted by the drug Trazodone. These connections suggest that Trazodone may be effective in treating anxiety disorder.
Answer: YES"
16793,32629,Chlorothiazide,familial intrahepatic cholestasis,disease-phenotype-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'Hepatomegaly', 'A1BG', 'Chlorothiazide']",0.0084360142646393,"Question: Is familial intrahepatic cholestasis an indication for Chlorothiazide?
Reasoning: The disease familial intrahepatic cholestasis is associated with the phenotype Hepatomegaly, which in turn affects the gene A1BG. This gene is not targeted by the drug Chlorothiazide. These connections suggest that Chlorothiazide may not be effective in treating familial intrahepatic cholestasis.
Answer: NO"
15778,27219,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Seizure', 'IL1B', 'Tolazamide']",0.0138777846295496,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Reasoning: The disease hypogonadotropic hypogonadism with or without anosmia is associated with the phenotype Seizure, which in turn affects the gene IL1B. This gene is not targeted by the drug Tolazamide. These connections suggest that Tolazamide may not be effective in treating hypogonadotropic hypogonadism with or without anosmia.
Answer: NO"
15193,28547,Rotigotine,Parkinson disease,disease-protein-drug,indication,"['Parkinson disease', 'DRD1', 'Rotigotine']",0.0006437851231621,"Question: Is Parkinson disease an indication for Rotigotine?
Reasoning: The disease Parkinson disease is associated with the gene DRD1, which is targeted by the drug Rotigotine. These connections suggest that Rotigotine may be effective in treating Parkinson disease.
Answer: YES"
14794,35958,Dasatinib,hemoglobinopathy,disease-protein-drug,contraindication,"['hemoglobinopathy', 'MIR125B2', 'Dasatinib']",0.0079446781900721,"Question: Is hemoglobinopathy an indication for Dasatinib?
Reasoning: The disease hemoglobinopathy is associated with the gene MIR125B2, which is not targeted by the drug Dasatinib. These connections suggest that Dasatinib may not be effective in treating hemoglobinopathy.
Answer: NO"
14194,30075,Methotrexate,Burkitt lymphoma,disease-protein-drug,indication,"['Burkitt lymphoma', 'FPGS', 'Methotrexate']",0.0017391329769402,"Question: Is Burkitt lymphoma an indication for Methotrexate?
Reasoning: The disease Burkitt lymphoma is associated with the gene FPGS, which is targeted by the drug Methotrexate. These connections suggest that Methotrexate may be effective in treating Burkitt lymphoma.
Answer: YES"
20302,32384,Potassium Iodide,adrenal insufficiency,disease-phenotype-protein-drug,contraindication,"['adrenal insufficiency', 'Hyponatremia', 'IFNG', 'Potassium Iodide']",0.0089443707941402,"Question: Is adrenal insufficiency an indication for Potassium Iodide?
Reasoning: The disease adrenal insufficiency is associated with the phenotype Hyponatremia, which in turn affects the gene IFNG. This gene is not targeted by the drug Potassium Iodide. These connections suggest that Potassium Iodide may not be effective in treating adrenal insufficiency.
Answer: NO"
15074,28651,Amphetamine,monogenic obesity,disease-protein-drug,indication,"['monogenic obesity', 'ADRB2', 'Amphetamine']",0.0009192137558984,"Question: Is monogenic obesity an indication for Amphetamine?
Reasoning: The disease monogenic obesity is associated with the gene ADRB2, which is targeted by the drug Amphetamine. These connections suggest that Amphetamine may be effective in treating monogenic obesity.
Answer: YES"
16793,32629,Chlorothiazide,familial intrahepatic cholestasis,disease-phenotype-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'Hepatomegaly', 'AHR', 'Chlorothiazide']",0.0084526341358231,"Question: Is familial intrahepatic cholestasis an indication for Chlorothiazide?
Reasoning: The disease familial intrahepatic cholestasis is associated with the phenotype Hepatomegaly, which in turn affects the gene AHR. This gene is not targeted by the drug Chlorothiazide. These connections suggest that Chlorothiazide may not be effective in treating familial intrahepatic cholestasis.
Answer: NO"
14999,30318,Quetiapine,autosomal recessive severe congenital neutropenia due to JAGN1 deficiency,disease-phenotype-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to JAGN1 deficiency', 'Recurrent bacterial infections', 'TCF3', 'Quetiapine']",0.0012283749981815,"Question: Is autosomal recessive severe congenital neutropenia due to JAGN1 deficiency an indication for Quetiapine?
Reasoning: The disease autosomal recessive severe congenital neutropenia due to JAGN1 deficiency is associated with the phenotype Recurrent bacterial infections, which in turn affects the gene TCF3. This gene is not targeted by the drug Quetiapine. These connections suggest that Quetiapine may not be effective in treating autosomal recessive severe congenital neutropenia due to JAGN1 deficiency.
Answer: NO"
14452,32759,Istradefylline,hemiparkinsonism-hemiatrophy syndrome,disease-phenotype-protein-drug,indication,"['hemiparkinsonism-hemiatrophy syndrome', 'Tremor', 'CYP2D6', 'Istradefylline']",0.0021573202078344,"Question: Is hemiparkinsonism-hemiatrophy syndrome an indication for Istradefylline?
Reasoning: The disease hemiparkinsonism-hemiatrophy syndrome is associated with the phenotype Tremor, which in turn affects the gene CYP2D6. This gene is targeted by the drug Istradefylline. These connections suggest that Istradefylline may be effective in treating hemiparkinsonism-hemiatrophy syndrome.
Answer: YES"
