drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
20337,37765,Monopotassium phosphate,cirrhosis of liver,disease-protein-drug,contraindication,"['cirrhosis of liver', 'IGFBP1', 'Monopotassium phosphate']",0.0066995926719736,"Question: Is cirrhosis of liver an indication for Monopotassium phosphate?
Reasoning: The disease cirrhosis of liver is associated with the gene IGFBP1, which is not targeted by the drug Monopotassium phosphate. These connections suggest that Monopotassium phosphate may not be effective in treating cirrhosis of liver.
Answer: NO"
14173,28249,Imipramine,major affective disorder,disease-protein-drug,contraindication,"['major affective disorder', 'DRD2', 'Imipramine']",0.0012561904452942,"Question: Is major affective disorder an indication for Imipramine?
Reasoning: The disease major affective disorder is associated with the gene DRD2, which is targeted by the drug Imipramine. These connections suggest that Imipramine may be effective in treating major affective disorder.
Answer: YES"
20337,37765,Monopotassium phosphate,cirrhosis of liver,disease-protein-drug,contraindication,"['cirrhosis of liver', 'GC', 'Monopotassium phosphate']",0.0067000667562183,"Question: Is cirrhosis of liver an indication for Monopotassium phosphate?
Reasoning: The disease cirrhosis of liver is associated with the gene GC, which is not targeted by the drug Monopotassium phosphate. These connections suggest that Monopotassium phosphate may not be effective in treating cirrhosis of liver.
Answer: NO"
14278,35764,Ketoprofen,kidney disease,disease-protein-drug,contraindication,"['kidney disease', 'ALB', 'Ketoprofen']",0.0019797590318589,"Question: Is kidney disease an indication for Ketoprofen?
Reasoning: The disease kidney disease is associated with the gene ALB, which is targeted by the drug Ketoprofen. These connections suggest that Ketoprofen may be effective in treating kidney disease.
Answer: YES"
20337,37765,Monopotassium phosphate,cirrhosis of liver,disease-protein-drug,contraindication,"['cirrhosis of liver', 'CNR2', 'Monopotassium phosphate']",0.0067000994292641,"Question: Is cirrhosis of liver an indication for Monopotassium phosphate?
Reasoning: The disease cirrhosis of liver is associated with the gene CNR2, which is not targeted by the drug Monopotassium phosphate. These connections suggest that Monopotassium phosphate may not be effective in treating cirrhosis of liver.
Answer: NO"
14304,27219,Tolbutamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Short stature', 'RSPH4A', 'Tolbutamide']",0.0202662310520549,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolbutamide?
Reasoning: The disease hypogonadotropic hypogonadism with or without anosmia is associated with the phenotype Short stature, which in turn affects the gene RSPH4A. This gene is not targeted by the drug Tolbutamide. These connections suggest that Tolbutamide may not be effective in treating hypogonadotropic hypogonadism with or without anosmia.
Answer: NO"
15116,35641,Paroxetine,epilepsy,disease-protein-drug,contraindication,"['epilepsy', 'DRD1', 'Paroxetine']",0.0008855892385873,"Question: Is epilepsy an indication for Paroxetine?
Reasoning: The disease epilepsy is associated with the gene DRD1, which is targeted by the drug Paroxetine. These connections suggest that Paroxetine may be effective in treating epilepsy.
Answer: YES"
19207,29113,Carbidopa,diabetic ketoacidosis,disease-phenotype-protein-drug,contraindication,"['diabetic ketoacidosis', 'Insulin resistance', 'GH1', 'Carbidopa']",0.0024073865973734,"Question: Is diabetic ketoacidosis an indication for Carbidopa?
Reasoning: The disease diabetic ketoacidosis is associated with the phenotype Insulin resistance, which in turn affects the gene GH1. This gene is not targeted by the drug Carbidopa. These connections suggest that Carbidopa may not be effective in treating diabetic ketoacidosis.
Answer: NO"
15127,27326,Perphenazine,long QT syndrome,disease-phenotype-protein-drug,contraindication,"['long QT syndrome', 'Bradycardia', 'CYP2D6', 'Perphenazine']",0.0020031137007159,"Question: Is long QT syndrome an indication for Perphenazine?
Reasoning: The disease long QT syndrome is associated with the phenotype Bradycardia, which in turn affects the gene CYP2D6. This gene is targeted by the drug Perphenazine. These connections suggest that Perphenazine may be effective in treating long QT syndrome.
Answer: YES"
17238,29113,Dimenhydrinate,diabetic ketoacidosis,disease-phenotype-protein-drug,contraindication,"['diabetic ketoacidosis', 'Insulin resistance', 'SOD2', 'Dimenhydrinate']",0.0019569381991223,"Question: Is diabetic ketoacidosis an indication for Dimenhydrinate?
Reasoning: The disease diabetic ketoacidosis is associated with the phenotype Insulin resistance, which in turn affects the gene SOD2. This gene is not targeted by the drug Dimenhydrinate. These connections suggest that Dimenhydrinate may not be effective in treating diabetic ketoacidosis.
Answer: NO"
