drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
14128.0,29182.0,Ascorbic acid,systemic lupus erythematosus (disease),disease-phenotype-protein-drug,contraindication,"['systemic lupus erythematosus (disease)', 'Thrombocytopenia', 'ALB', 'Ascorbic acid']",0.0043041698766356,"Question: Is systemic lupus erythematosus (disease) an indication for Ascorbic acid?
Answer: NO"
14830.0,32759.0,Amantadine,hemiparkinsonism-hemiatrophy syndrome,disease-protein-drug,indication,"['hemiparkinsonism-hemiatrophy syndrome', 'DDC', 'Amantadine']",0.0007560975140014,"Question: Is hemiparkinsonism-hemiatrophy syndrome an indication for Amantadine?
Answer: YES"
14176.0,36432.0,Fluoxetine,congestive heart failure,disease-protein-drug,contraindication,"['congestive heart failure', 'ALB', 'Fluoxetine']",0.0020630812842149,"Question: Is congestive heart failure an indication for Fluoxetine?
Answer: NO"
,,,,,,,,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolbutamide?
Answer: NO"
15458.0,37617.0,Ergotamine,chronic obstructive pulmonary disease,disease-protein-drug,contraindication,"['chronic obstructive pulmonary disease', 'HTR2A', 'Ergotamine']",0.0008295393220769,"Question: Is chronic obstructive pulmonary disease an indication for Ergotamine?
Answer: NO"
15132.0,30035.0,Hydrocodone,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'CYP2D6', 'Hydrocodone']",0.0018483995881774,"Question: Is substance abuse/dependence an indication for Hydrocodone?
Answer: NO"
14993.0,37617.0,Phenobarbital,chronic obstructive pulmonary disease,disease-protein-drug,contraindication,"['chronic obstructive pulmonary disease', 'CYP1A2', 'Phenobarbital']",0.0015043408698563,"Question: Is chronic obstructive pulmonary disease an indication for Phenobarbital?
Answer: NO"
14295.0,83791.0,Promethazine,vasomotor rhinitis,disease-protein-drug,indication,"['vasomotor rhinitis', 'HRH1', 'Promethazine']",0.000604983664635,"Question: Is vasomotor rhinitis an indication for Promethazine?
Answer: YES"
15914.0,33332.0,Minocycline,tularemia,disease-phenotype-protein-drug,indication,"['tularemia', 'Leukocytosis', 'IL1B', 'Minocycline']",0.0031555476493443,"Question: Is tularemia an indication for Minocycline?
Answer: YES"
14275.0,29646.0,Doxorubicin,hepatocellular carcinoma,disease-protein-drug,off-label use,"['hepatocellular carcinoma', 'CYP2B6', 'Doxorubicin']",0.0021652205891484,"Question: Is hepatocellular carcinoma an indication for Doxorubicin?
Answer: NO"
14979.0,36104.0,Zonisamide,neutropenia,disease-protein-drug,contraindication,"['neutropenia', 'UGT1A1', 'Zonisamide']",0.0011431623446044,"Question: Is neutropenia an indication for Zonisamide?
Answer: NO"
14221.0,29646.0,Norethisterone,hepatocellular carcinoma,disease-phenotype-protein-drug,contraindication,"['hepatocellular carcinoma', 'Thrombocytopenia', 'ALB', 'Norethisterone']",0.0031518141549157,"Question: Is hepatocellular carcinoma an indication for Norethisterone?
Answer: NO"
14952.0,27645.0,Haloperidol,torsion dystonia,disease-phenotype-protein-drug,contraindication,"['torsion dystonia', 'Action tremor', 'CYP2D6', 'Haloperidol']",0.0020987939586135,"Question: Is torsion dystonia an indication for Haloperidol?
Answer: NO"
,,,,,,,,"Question: Is agranulocytosis an indication for Ethosuximide?
Answer: NO"
14882.0,35895.0,Linezolid,small intestine cancer,disease-protein-drug,contraindication,"['small intestine cancer', 'MAOB', 'Linezolid']",0.0006039580943892,"Question: Is small intestine cancer an indication for Linezolid?
Answer: NO"
15074.0,83760.0,Amphetamine,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'MAOA', 'Amphetamine']",0.0008152455284758,"Question: Is dysthymic disorder an indication for Amphetamine?
Answer: NO"
14578.0,32629.0,Cholic Acid,familial intrahepatic cholestasis,disease-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'ABCC2', 'Cholic Acid']",0.00143873352294,"Question: Is familial intrahepatic cholestasis an indication for Cholic Acid?
Answer: NO"
14477.0,35966.0,Testosterone enanthate,prostate cancer,disease-protein-drug,contraindication,"['prostate cancer', 'AR', 'Testosterone enanthate']",0.0014452370372171,"Question: Is prostate cancer an indication for Testosterone enanthate?
Answer: NO"
14943.0,36527.0,Levonorgestrel,yolk sac tumor,disease-protein-drug,contraindication,"['yolk sac tumor', 'ESR1', 'Levonorgestrel']",0.0010308166478846,"Question: Is yolk sac tumor an indication for Levonorgestrel?
Answer: NO"
15173.0,30664.0,Dextroamphetamine,X-linked adrenoleukodystrophy,disease-phenotype-protein-drug,indication,"['X-linked adrenoleukodystrophy', 'Neurodegeneration', 'SLC18A2', 'Dextroamphetamine']",0.0006580345270637,"Question: Is X-linked adrenoleukodystrophy an indication for Dextroamphetamine?
Answer: YES"
14320.0,32980.0,Dexamethasone,hereditary hemorrhagic telangiectasia,disease-phenotype-protein-drug,contraindication,"['hereditary hemorrhagic telangiectasia', 'Seizure', 'ABCC2', 'Dexamethasone']",0.0044680472503127,"Question: Is hereditary hemorrhagic telangiectasia an indication for Dexamethasone?
Answer: NO"
15098.0,33593.0,Promazine,obesity disorder,disease-phenotype-protein-drug,contraindication,"['obesity disorder', 'Increased body weight', 'DRD2', 'Promazine']",0.001166457536153,"Question: Is obesity disorder an indication for Promazine?
Answer: NO"
15112.0,28780.0,Dextropropoxyphene,Alzheimer disease,disease-protein-drug,contraindication,"['Alzheimer disease', 'CYP2D6', 'Dextropropoxyphene']",0.0017859632884656,"Question: Is Alzheimer disease an indication for Dextropropoxyphene?
Answer: NO"
15133.0,29113.0,Pindolol,diabetic ketoacidosis,disease-phenotype-protein-drug,contraindication,"['diabetic ketoacidosis', 'Insulin resistance', 'ADRB2', 'Pindolol']",0.0008687104562954,"Question: Is diabetic ketoacidosis an indication for Pindolol?
Answer: NO"
16376.0,83819.0,Quinestrol,malignant dysgerminomatous germ cell tumor of ovary,disease-protein-drug,contraindication,"['malignant dysgerminomatous germ cell tumor of ovary', 'ESR1', 'Quinestrol']",0.0007963178674027,"Question: Is malignant dysgerminomatous germ cell tumor of ovary an indication for Quinestrol?
Answer: NO"
14187.0,31116.0,Erlotinib,lung cancer,disease-protein-drug,indication,"['lung cancer', 'ABCB1', 'Erlotinib']",0.0012919777504671,"Question: Is lung cancer an indication for Erlotinib?
Answer: YES"
14208.0,35963.0,Testosterone,prostate carcinoma,disease-protein-drug,contraindication,"['prostate carcinoma', 'CYP3A4', 'Testosterone']",0.0010287631361406,"Question: Is prostate carcinoma an indication for Testosterone?
Answer: NO"
16842.0,31408.0,Pramipexole,X-linked parkinsonism-spasticity syndrome,disease-phenotype-protein-drug,indication,"['X-linked parkinsonism-spasticity syndrome', 'Seizure', 'DRD2', 'Pramipexole']",0.0032712765797728,"Question: Is X-linked parkinsonism-spasticity syndrome an indication for Pramipexole?
Answer: YES"
14841.0,29637.0,Triflupromazine,prolactin producing pituitary gland tumor,disease-phenotype-protein-drug,contraindication,"['prolactin producing pituitary gland tumor', 'Seizure', 'DRD1', 'Triflupromazine']",0.0030450967508048,"Question: Is prolactin producing pituitary gland tumor an indication for Triflupromazine?
Answer: NO"
15914.0,33314.0,Minocycline,leptospirosis,disease-phenotype-protein-drug,indication,"['leptospirosis', 'Hepatomegaly', 'NOS2', 'Minocycline']",0.0040804909749581,"Question: Is leptospirosis an indication for Minocycline?
Answer: YES"
,,,,,,,,"Question: Is pseudotumor cerebri an indication for Thiopental?
Answer: YES"
14999.0,33454.0,Quetiapine,neuroleptic malignant syndrome,disease-phenotype-protein-drug,contraindication,"['neuroleptic malignant syndrome', 'Tremor', 'CHRM4', 'Quetiapine']",0.0009904457423761,"Question: Is neuroleptic malignant syndrome an indication for Quetiapine?
Answer: NO"
14737.0,37082.0,Carboplatin,malignant germ cell tumor of ovary,disease-protein-drug,indication,"['malignant germ cell tumor of ovary', 'ATP7B', 'Carboplatin']",0.0013246025790618,"Question: Is malignant germ cell tumor of ovary an indication for Carboplatin?
Answer: YES"
,,,,,,,,"Question: Is arthropathy an indication for Ibuprofen?
Answer: YES"
14320.0,30511.0,Dexamethasone,anti-glomerular basement membrane disease,disease-phenotype-protein-drug,off-label use,"['anti-glomerular basement membrane disease', 'Proteinuria', 'ALB', 'Dexamethasone']",0.0037295718672605,"Question: Is anti-glomerular basement membrane disease an indication for Dexamethasone?
Answer: NO"
15113.0,28780.0,Galantamine,Alzheimer disease,disease-phenotype-protein-drug,indication,"['Alzheimer disease', 'Memory impairment', 'CHRNA7', 'Galantamine']",0.0011500852214288,"Question: Is Alzheimer disease an indication for Galantamine?
Answer: YES"
14643.0,33440.0,Capsaicin,thrombocytopenic purpura,disease-phenotype-protein-drug,contraindication,"['thrombocytopenic purpura', 'Arrhythmia', 'PTGS2', 'Capsaicin']",0.0023613944740706,"Question: Is thrombocytopenic purpura an indication for Capsaicin?
Answer: NO"
14310.0,35641.0,Doxepin,epilepsy,disease-protein-drug,contraindication,"['epilepsy', 'ABCB1', 'Doxepin']",0.0012819700695367,"Question: Is epilepsy an indication for Doxepin?
Answer: NO"
14201.0,32932.0,Oxytetracycline,brucellosis,disease-phenotype-protein-drug,indication,"['brucellosis', 'Hepatomegaly', 'ALB', 'Oxytetracycline']",0.0033555127246406,"Question: Is brucellosis an indication for Oxytetracycline?
Answer: YES"
15121.0,36544.0,Methimazole,drug-induced liver injury,disease-protein-drug,contraindication,"['drug-induced liver injury', 'FMO3', 'Methimazole']",0.0005634389801336,"Question: Is drug-induced liver injury an indication for Methimazole?
Answer: NO"
14183.0,29078.0,Tolmetin,rheumatoid arthritis,disease-phenotype-protein-drug,indication,"['rheumatoid arthritis', 'Fever', 'PTGS2', 'Tolmetin']",0.0024860669737407,"Question: Is rheumatoid arthritis an indication for Tolmetin?
Answer: YES"
15416.0,30035.0,Lorazepam,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'GABRA6', 'Lorazepam']",0.00046733676292,"Question: Is substance abuse/dependence an indication for Lorazepam?
Answer: NO"
15148.0,83841.0,Escitalopram,endogenous depression,disease-protein-drug,indication,"['endogenous depression', 'SLC6A2', 'Escitalopram']",0.0004842522154867,"Question: Is endogenous depression an indication for Escitalopram?
Answer: YES"
14380.0,39081.0,Asenapine,hyperprolactinemia (disease),disease-protein-drug,contraindication,"['hyperprolactinemia (disease)', 'DRD2', 'Asenapine']",0.0010978276759656,"Question: Is hyperprolactinemia (disease) an indication for Asenapine?
Answer: NO"
14452.0,28547.0,Istradefylline,Parkinson disease,disease-phenotype-protein-drug,indication,"['Parkinson disease', 'Rigidity', 'CYP2D6', 'Istradefylline']",0.0021316269102445,"Question: Is Parkinson disease an indication for Istradefylline?
Answer: YES"
14150.0,83760.0,Morphine,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'OPRM1', 'Morphine']",0.0011514692114215,"Question: Is dysthymic disorder an indication for Morphine?
Answer: NO"
16057.0,32313.0,Hyoscyamine,Haddad syndrome,disease-phenotype-protein-drug,contraindication,"['Haddad syndrome', 'Seizure', 'CHRM1', 'Hyoscyamine']",0.0030114161345061,"Question: Is Haddad syndrome an indication for Hyoscyamine?
Answer: NO"
14413.0,31116.0,Nintedanib,lung cancer,disease-protein-drug,indication,"['lung cancer', 'FGFR2', 'Nintedanib']",0.0007551785115828,"Question: Is lung cancer an indication for Nintedanib?
Answer: YES"
14807.0,83781.0,Epinephrine,intrinsic asthma,disease-protein-drug,off-label use,"['intrinsic asthma', 'ADRB2', 'Epinephrine']",0.0009102313510432,"Question: Is intrinsic asthma an indication for Epinephrine?
Answer: NO"
14483.0,29220.0,Estradiol valerate,hyperlipoproteinemia,disease-phenotype-protein-drug,contraindication,"['hyperlipoproteinemia', 'Hepatomegaly', 'NR1I2', 'Estradiol valerate']",0.0026790800374627,"Question: Is hyperlipoproteinemia an indication for Estradiol valerate?
Answer: NO"
15982.0,27292.0,Sulfasalazine,glycogen storage disease,disease-phenotype-protein-drug,contraindication,"['glycogen storage disease', 'Arrhythmia', 'PTGS2', 'Sulfasalazine']",0.00226279053969,"Question: Is glycogen storage disease an indication for Sulfasalazine?
Answer: NO"
14731.0,38958.0,Mibefradil,sick sinus syndrome,disease-protein-drug,contraindication,"['sick sinus syndrome', 'CACNA1D', 'Mibefradil']",0.000688458196349,"Question: Is sick sinus syndrome an indication for Mibefradil?
Answer: NO"
14737.0,83822.0,Carboplatin,"theca steroid-producing cell malignant tumor of ovary, not further specified",disease-protein-drug,indication,"['theca steroid-producing cell malignant tumor of ovary, not further specified', 'ATP7B', 'Carboplatin']",0.0013228049959667,"Question: Is theca steroid-producing cell malignant tumor of ovary, not further specified an indication for Carboplatin?
Answer: YES"
,,,,,,,,"Question: Is theca steroid-producing cell malignant tumor of ovary, not further specified an indication for Capecitabine?
Answer: NO"
14223.0,83998.0,Risperidone,lingual-facial-buccal dyskinesia,disease-protein-drug,contraindication,"['lingual-facial-buccal dyskinesia', 'HTR2A', 'Risperidone']",0.0007535989638439,"Question: Is lingual-facial-buccal dyskinesia an indication for Risperidone?
Answer: NO"
14452.0,28547.0,Istradefylline,Parkinson disease,disease-phenotype-protein-drug,indication,"['Parkinson disease', 'Postural tremor', 'ADORA2A', 'Istradefylline']",0.0009713746702427,"Question: Is Parkinson disease an indication for Istradefylline?
Answer: YES"
15424.0,32797.0,Cabergoline,IgG4-related retroperitoneal fibrosis,disease-phenotype-protein-drug,contraindication,"['IgG4-related retroperitoneal fibrosis', 'Fever', 'HTR2A', 'Cabergoline']",0.0018871547987312,"Question: Is IgG4-related retroperitoneal fibrosis an indication for Cabergoline?
Answer: NO"
14204.0,33534.0,Sulindac,pediatric systemic lupus erythematosus,disease-phenotype-protein-drug,contraindication,"['pediatric systemic lupus erythematosus', 'Edema', 'PTGS2', 'Sulindac']",0.0016557246781123,"Question: Is pediatric systemic lupus erythematosus an indication for Sulindac?
Answer: NO"
14387.0,29061.0,Methyltestosterone,endometriosis of uterus,disease-protein-drug,contraindication,"['endometriosis of uterus', 'CYP19A1', 'Methyltestosterone']",0.0011280955711768,"Question: Is endometriosis of uterus an indication for Methyltestosterone?
Answer: NO"
14758.0,31380.0,Capecitabine,diffuse gastric adenocarcinoma,disease-protein-drug,indication,"['diffuse gastric adenocarcinoma', 'TYMS', 'Capecitabine']",0.0014472611723568,"Question: Is diffuse gastric adenocarcinoma an indication for Capecitabine?
Answer: YES"
14186.0,36527.0,Cisplatin,yolk sac tumor,disease-protein-drug,indication,"['yolk sac tumor', 'ATP7B', 'Cisplatin']",0.0009727691114635,"Question: Is yolk sac tumor an indication for Cisplatin?
Answer: YES"
15782.0,28005.0,Vigabatrin,developmental and epileptic encephalopathy,disease-phenotype-protein-drug,indication,"['developmental and epileptic encephalopathy', 'Areflexia', 'ABAT', 'Vigabatrin']",0.0008705112037135,"Question: Is developmental and epileptic encephalopathy an indication for Vigabatrin?
Answer: YES"
14140.0,38242.0,Ziprasidone,bipolar disorder,disease-protein-drug,indication,"['bipolar disorder', 'HTR2C', 'Ziprasidone']",0.0006985261045389,"Question: Is bipolar disorder an indication for Ziprasidone?
Answer: YES"
