drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
14336,27626,Ephedrine,thrombocytopenia,disease-phenotype-protein-drug,contraindication,"['thrombocytopenia', 'Thrombocytopenia', 'ALB', 'Ephedrine']",0.0044481321014593,"Question: Is thrombocytopenia an indication for Ephedrine?
Answer: NO"
14806,31408,Entacapone,X-linked parkinsonism-spasticity syndrome,disease-protein-drug,indication,"['X-linked parkinsonism-spasticity syndrome', 'CYP2D6', 'Entacapone']",0.0017153304543658,"Question: Is X-linked parkinsonism-spasticity syndrome an indication for Entacapone?
Answer: YES"
14336,33623,Ephedrine,macrocytic anemia (disease),disease-protein-drug,contraindication,"['macrocytic anemia (disease)', 'ACHE', 'Ephedrine']",0.0010288555260781,"Question: Is macrocytic anemia (disease) an indication for Ephedrine?
Answer: NO"
14831,31408,Droxidopa,X-linked parkinsonism-spasticity syndrome,disease-protein-drug,indication,"['X-linked parkinsonism-spasticity syndrome', 'DDC', 'Droxidopa']",0.0006964885536062,"Question: Is X-linked parkinsonism-spasticity syndrome an indication for Droxidopa?
Answer: YES"
16004,33714,Phenyl salicylate,esophagitis (disease),disease-protein-drug,contraindication,"['esophagitis (disease)', 'PTGS2', 'Phenyl salicylate']",0.0016416236768717,"Question: Is esophagitis (disease) an indication for Phenyl salicylate?
Answer: NO"
15112,30035,Dextropropoxyphene,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'CES1', 'Dextropropoxyphene']",0.000677397243731,"Question: Is substance abuse/dependence an indication for Dextropropoxyphene?
Answer: NO"
14707,33622,Ferrous sulfate anhydrous,microcytic anemia,disease-protein-drug,indication,"['microcytic anemia', 'TFRC', 'Ferrous sulfate anhydrous']",0.0008942690585877,"Question: Is microcytic anemia an indication for Ferrous sulfate anhydrous?
Answer: YES"
15412,35953,Histamine,atherosclerosis,disease-protein-drug,contraindication,"['atherosclerosis', 'HRH1', 'Histamine']",0.0012567645052504,"Question: Is atherosclerosis an indication for Histamine?
Answer: NO"
14956,30449,Carbamazepine,trigeminal neuralgia,disease-phenotype-protein-drug,indication,"['trigeminal neuralgia', 'Allodynia', 'SCN10A', 'Carbamazepine']",0.0014944365108423,"Question: Is trigeminal neuralgia an indication for Carbamazepine?
Answer: YES"
14173,30035,Imipramine,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'CYP2E1', 'Imipramine']",0.0012600834125257,"Question: Is substance abuse/dependence an indication for Imipramine?
Answer: NO"
15110,28313,Fluphenazine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'CYP2E1', 'Fluphenazine']",0.0009992576279575,"Question: Is schizophrenia an indication for Fluphenazine?
Answer: YES"
15105,33675,Carteolol,asthma,disease-protein-drug,contraindication,"['asthma', 'ADRB2', 'Carteolol']",0.0007037297395469,"Question: Is asthma an indication for Carteolol?
Answer: NO"
15507,83824,Mestranol,myocardial infarction,disease-protein-drug,contraindication,"['myocardial infarction', 'ESR1', 'Mestranol']",0.0010043894978817,"Question: Is myocardial infarction an indication for Mestranol?
Answer: NO"
14913,28313,Trifluoperazine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'ABCB1', 'Trifluoperazine']",0.0026683611674282,"Question: Is schizophrenia an indication for Trifluoperazine?
Answer: YES"
15201,33575,Dapagliflozin,diabetes mellitus (disease),disease-protein-drug,indication,"['diabetes mellitus (disease)', 'CYP1A2', 'Dapagliflozin']",0.0012360826345285,"Question: Is diabetes mellitus (disease) an indication for Dapagliflozin?
Answer: YES"
15783,83791,Cyclizine,vasomotor rhinitis,disease-protein-drug,indication,"['vasomotor rhinitis', 'HRH1', 'Cyclizine']",0.0007840348276219,"Question: Is vasomotor rhinitis an indication for Cyclizine?
Answer: YES"
14383,27664,Oxymetholone,idiopathic aplastic anemia,disease-phenotype-protein-drug,indication,"['idiopathic aplastic anemia', 'Thrombocytopenia', 'ALB', 'Oxymetholone']",0.0040173885118772,"Question: Is idiopathic aplastic anemia an indication for Oxymetholone?
Answer: YES"
14787,35963,Flutamide,prostate carcinoma,disease-protein-drug,indication,"['prostate carcinoma', 'CYP2C19', 'Flutamide']",0.0008869726999819,"Question: Is prostate carcinoma an indication for Flutamide?
Answer: YES"
14733,37703,Levomefolic acid,neurotic disorder,disease-protein-drug,contraindication,"['neurotic disorder', 'MTR', 'Levomefolic acid']",0.0009514440210012,"Question: Is neurotic disorder an indication for Levomefolic acid?
Answer: NO"
