drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
14176,29494,Fluoxetine,autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,disease-phenotype-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to G6PC3 deficiency', 'Hepatomegaly', 'AHR', 'Fluoxetine']",0.0114749101861167,"Question: Is autosomal recessive severe congenital neutropenia due to G6PC3 deficiency an indication for Fluoxetine? directly answer me with $YES$ or $NO$
Answer: $NO$"
18695,83812,Eptifibatide,acute coronary syndrome,disease-protein-drug,indication,"['acute coronary syndrome', 'ITGB3', 'Eptifibatide']",0.0005163334891428,"Question: Is acute coronary syndrome an indication for Eptifibatide? directly answer me with $YES$ or $NO$
Answer: $YES$"
15001,33679,Paliperidone,potassium deficiency disease,disease-protein-drug,contraindication,"['potassium deficiency disease', 'AGT', 'Paliperidone']",0.0010468917293835,"Question: Is potassium deficiency disease an indication for Paliperidone? directly answer me with $YES$ or $NO$
Answer: $NO$"
14962,27933,Trazodone,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'HTR1A', 'Trazodone']",0.0010794001698012,"Question: Is anxiety disorder an indication for Trazodone? directly answer me with $YES$ or $NO$
Answer: $YES$"
16793,32629,Chlorothiazide,familial intrahepatic cholestasis,disease-phenotype-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'Hepatomegaly', 'A1BG', 'Chlorothiazide']",0.0084360142646393,"Question: Is familial intrahepatic cholestasis an indication for Chlorothiazide? directly answer me with $YES$ or $NO$
Answer: $NO$"
15778,27219,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Seizure', 'IL1B', 'Tolazamide']",0.0138777846295496,"Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide? directly answer me with $YES$ or $NO$
Answer: $NO$"
15193,28547,Rotigotine,Parkinson disease,disease-protein-drug,indication,"['Parkinson disease', 'DRD1', 'Rotigotine']",0.0006437851231621,"Question: Is Parkinson disease an indication for Rotigotine? directly answer me with $YES$ or $NO$
Answer: $YES$"
14794,35958,Dasatinib,hemoglobinopathy,disease-protein-drug,contraindication,"['hemoglobinopathy', 'MIR125B2', 'Dasatinib']",0.0079446781900721,"Question: Is hemoglobinopathy an indication for Dasatinib? directly answer me with $YES$ or $NO$
Answer: $NO$"
14194,30075,Methotrexate,Burkitt lymphoma,disease-protein-drug,indication,"['Burkitt lymphoma', 'FPGS', 'Methotrexate']",0.0017391329769402,"Question: Is Burkitt lymphoma an indication for Methotrexate? directly answer me with $YES$ or $NO$
Answer: $YES$"
20302,32384,Potassium Iodide,adrenal insufficiency,disease-phenotype-protein-drug,contraindication,"['adrenal insufficiency', 'Hyponatremia', 'IFNG', 'Potassium Iodide']",0.0089443707941402,"Question: Is adrenal insufficiency an indication for Potassium Iodide? directly answer me with $YES$ or $NO$
Answer: $NO$"
15074,28651,Amphetamine,monogenic obesity,disease-protein-drug,indication,"['monogenic obesity', 'ADRB2', 'Amphetamine']",0.0009192137558984,"Question: Is monogenic obesity an indication for Amphetamine? directly answer me with $YES$ or $NO$
Answer: $YES$"
16793,32629,Chlorothiazide,familial intrahepatic cholestasis,disease-phenotype-protein-drug,contraindication,"['familial intrahepatic cholestasis', 'Hepatomegaly', 'AHR', 'Chlorothiazide']",0.0084526341358231,"Question: Is familial intrahepatic cholestasis an indication for Chlorothiazide? directly answer me with $YES$ or $NO$
Answer: $NO$"
14999,30318,Quetiapine,autosomal recessive severe congenital neutropenia due to JAGN1 deficiency,disease-phenotype-protein-drug,contraindication,"['autosomal recessive severe congenital neutropenia due to JAGN1 deficiency', 'Recurrent bacterial infections', 'TCF3', 'Quetiapine']",0.0012283749981815,"Question: Is autosomal recessive severe congenital neutropenia due to JAGN1 deficiency an indication for Quetiapine? directly answer me with $YES$ or $NO$
Answer: $NO$"
14452,32759,Istradefylline,hemiparkinsonism-hemiatrophy syndrome,disease-phenotype-protein-drug,indication,"['hemiparkinsonism-hemiatrophy syndrome', 'Tremor', 'CYP2D6', 'Istradefylline']",0.0021573202078344,"Question: Is hemiparkinsonism-hemiatrophy syndrome an indication for Istradefylline? directly answer me with $YES$ or $NO$
Answer: $YES$"
15035,38957,Vortioxetine,major depressive disorder,disease-protein-drug,indication,"['major depressive disorder', 'HTR7', 'Vortioxetine']",0.0005154339116471,"Question: Is major depressive disorder an indication for Vortioxetine? directly answer me with $YES$ or $NO$
Answer: $YES$"
15119,27933,Tranylcypromine,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'CYP2C19', 'Tranylcypromine']",0.0007088848219223,"Question: Is anxiety disorder an indication for Tranylcypromine? directly answer me with $YES$ or $NO$
Answer: $YES$"
14452,32974,Istradefylline,atypical juvenile parkinsonism,disease-protein-drug,indication,"['atypical juvenile parkinsonism', 'ABCB1', 'Istradefylline']",0.0012740652015181,"Question: Is atypical juvenile parkinsonism an indication for Istradefylline? directly answer me with $YES$ or $NO$
Answer: $YES$"
