drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
15834,31072,Thiopental,pseudotumor cerebri,disease-phenotype-protein-drug,indication,"['pseudotumor cerebri', 'Lethargy', 'ABAT', 'Thiopental']",0.0035055358621504,"Question: Is pseudotumor cerebri an indication for Thiopental?
Answer: NO"
14758,83822,Capecitabine,"theca steroid-producing cell malignant tumor of ovary, not further specified",disease-protein-drug,off-label use,"['theca steroid-producing cell malignant tumor of ovary, not further specified', 'TP63', 'Capecitabine']",0.004898005659597,"Question: Is theca steroid-producing cell malignant tumor of ovary, not further specified an indication for Capecitabine?
Answer: NO"
15481,37423,Topotecan,ovarian clear cell adenocarcinoma,disease-protein-drug,indication,"['ovarian clear cell adenocarcinoma', 'AREG', 'Topotecan']",0.005256197391345,"Question: Is ovarian clear cell adenocarcinoma an indication for Topotecan?
Answer: NO"
14943,29646,Levonorgestrel,hepatocellular carcinoma,disease-phenotype-protein-drug,contraindication,"['hepatocellular carcinoma', 'Fever', 'IFNG', 'Levonorgestrel']",0.0121724159655779,"Question: Is hepatocellular carcinoma an indication for Levonorgestrel?
Answer: NO"
20431,30813,Diiodohydroxyquinoline,Addison disease,disease-phenotype-protein-drug,contraindication,"['Addison disease', 'Seizure', 'INS', 'Diiodohydroxyquinoline']",0.0107187144288237,"Question: Is Addison disease an indication for Diiodohydroxyquinoline?
Answer: NO"
20337,37765,Monopotassium phosphate,cirrhosis of liver,disease-protein-drug,contraindication,"['cirrhosis of liver', 'MIR30C2', 'Monopotassium phosphate']",0.0066995926719736,"Question: Is cirrhosis of liver an indication for Monopotassium phosphate?
Answer: NO"
14287,36209,Ibuprofen,arthropathy,disease-protein-drug,indication,"['arthropathy', 'SEC23A', 'Ibuprofen']",0.0088999434172532,"Question: Is arthropathy an indication for Ibuprofen?
Answer: NO"
17232,27648,Triprolidine,familial glucocorticoid deficiency,disease-phenotype-protein-drug,contraindication,"['familial glucocorticoid deficiency', 'Adrenal insufficiency', 'SGPL1', 'Triprolidine']",0.0020184634541503,"Question: Is familial glucocorticoid deficiency an indication for Triprolidine?
Answer: NO"
20337,37765,Monopotassium phosphate,cirrhosis of liver,disease-protein-drug,contraindication,"['cirrhosis of liver', 'FGFR2', 'Monopotassium phosphate']",0.006699847848466,"Question: Is cirrhosis of liver an indication for Monopotassium phosphate?
Answer: NO"
17238,29113,Dimenhydrinate,diabetic ketoacidosis,disease-phenotype-protein-drug,contraindication,"['diabetic ketoacidosis', 'Insulin resistance', 'CD36', 'Dimenhydrinate']",0.0018942028793627,"Question: Is diabetic ketoacidosis an indication for Dimenhydrinate?
Answer: NO"
