drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
14018,32424,Beclomethasone dipropionate,varicella zoster infection,disease-disease-drug,contraindication,"['varicella zoster infection', 'congenital varicella syndrome', 'Beclomethasone dipropionate']",0.0010269958151594967
14018,37236,Beclomethasone dipropionate,varicella zoster infection,disease-disease-drug,contraindication,"['varicella zoster infection', 'Herpesviridae infectious disease', 'Beclomethasone dipropionate']",0.0010269958151594967
14018,37845,Beclomethasone dipropionate,varicella zoster infection,disease-disease-drug,contraindication,"['varicella zoster infection', 'herpes zoster', 'Beclomethasone dipropionate']",0.0010269958151594967
14018,84029,Beclomethasone dipropionate,varicella zoster infection,disease-disease-drug,contraindication,"['varicella zoster infection', 'chickenpox', 'Beclomethasone dipropionate']",0.0010269958151594967
14018,98342,Beclomethasone dipropionate,varicella zoster infection,disease-disease-drug,contraindication,"['varicella zoster infection', 'facial nerve palsy due to herpes zoster infection', 'Beclomethasone dipropionate']",0.0010269958151594967
14018,98929,Beclomethasone dipropionate,varicella zoster infection,disease-disease-drug,contraindication,"['varicella zoster infection', 'herpes zoster dermatitis', 'Beclomethasone dipropionate']",0.0010269958151594967
14018,98941,Beclomethasone dipropionate,varicella zoster infection,disease-disease-drug,contraindication,"['varicella zoster infection', 'herpetic vulvovaginitis', 'Beclomethasone dipropionate']",0.0010269958151594967
14019,35749,Betamethasone,peptic ulcer disease,disease-disease-drug,contraindication,"['peptic ulcer disease', 'digestive system disease', 'Betamethasone']",0.0009804423997503832
14019,37429,Betamethasone,peptic ulcer disease,disease-disease-drug,contraindication,"['peptic ulcer disease', 'ulcer disease', 'Betamethasone']",0.0009761901145607707
14019,37564,Betamethasone,peptic ulcer disease,disease-disease-drug,contraindication,"['peptic ulcer disease', 'gastric ulcer (disease)', 'Betamethasone']",0.0009761901145607707
14019,83878,Betamethasone,peptic ulcer disease,disease-disease-drug,contraindication,"['peptic ulcer disease', 'peptic esophagitis', 'Betamethasone']",0.0009761901145607707
14019,83887,Betamethasone,peptic ulcer disease,disease-disease-drug,contraindication,"['peptic ulcer disease', 'active peptic ulcer disease', 'Betamethasone']",0.0009761901145607707
