drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,prefix
14510,27626,Heparin,thrombocytopenia,disease-phenotype-protein-drug,contraindication,"['thrombocytopenia', 'Thrombocytopenia', 'PF4', 'Heparin']","Question: Is thrombocytopenia an indication for Heparin?
Reasoning: The disease thrombocytopenia is associated with the phenotype Thrombocytopenia, which in turn affects the gene PF4. This gene is not targeted by the drug Heparin. These connections suggest that Heparin may not be effective in treating thrombocytopenia.
Answer: NO"
14275,83817,Doxorubicin,hereditary site-specific ovarian cancer syndrome,disease-protein-drug,indication,"['hereditary site-specific ovarian cancer syndrome', 'CYP1B1', 'Doxorubicin']","Question: Is hereditary site-specific ovarian cancer syndrome an indication for Doxorubicin?
Reasoning: The disease hereditary site-specific ovarian cancer syndrome is associated with the gene CYP1B1, which is targeted by the drug Doxorubicin. These connections suggest that Doxorubicin may be effective in treating hereditary site-specific ovarian cancer syndrome.
Answer: YES"
14961,30035,Simvastatin,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'CYP2B6', 'Simvastatin']","Question: Is substance abuse/dependence an indication for Simvastatin?
Reasoning: The disease substance abuse/dependence is associated with the gene CYP2B6, which is not targeted by the drug Simvastatin. These connections suggest that Simvastatin may not be effective in treating substance abuse/dependence.
Answer: NO"
14176,83840,Fluoxetine,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'ALB', 'Fluoxetine']","Question: Is unipolar depression an indication for Fluoxetine?
Reasoning: The disease unipolar depression is associated with the gene ALB, which is targeted by the drug Fluoxetine. These connections suggest that Fluoxetine may be effective in treating unipolar depression.
Answer: YES"
15187,38312,Nilotinib,hereditary hyperbilirubinemia,disease-protein-drug,contraindication,"['hereditary hyperbilirubinemia', 'UGT1A1', 'Nilotinib']","Question: Is hereditary hyperbilirubinemia an indication for Nilotinib?
Reasoning: The disease hereditary hyperbilirubinemia is associated with the gene UGT1A1, which is not targeted by the drug Nilotinib. These connections suggest that Nilotinib may not be effective in treating hereditary hyperbilirubinemia.
Answer: NO"
14178,30324,Chlorpromazine,blepharospasm,disease-protein-drug,contraindication,"['blepharospasm', 'DRD5', 'Chlorpromazine']","Question: Is blepharospasm an indication for Chlorpromazine?
Reasoning: The disease blepharospasm is associated with the gene DRD5, which is not targeted by the drug Chlorpromazine. These connections suggest that Chlorpromazine may not be effective in treating blepharospasm.
Answer: NO"
14188,33314,Ciprofloxacin,leptospirosis,disease-phenotype-protein-drug,indication,"['leptospirosis', 'Hepatomegaly', 'ALB', 'Ciprofloxacin']","Question: Is leptospirosis an indication for Ciprofloxacin?
Reasoning: The disease leptospirosis is associated with the phenotype Hepatomegaly, which in turn affects the gene ALB. This gene is targeted by the drug Ciprofloxacin. These connections suggest that Ciprofloxacin may be effective in treating leptospirosis.
Answer: YES"
20394,27286,Sulfabenzamide,galactosemia,disease-phenotype-protein-drug,contraindication,"['galactosemia', 'Hepatomegaly', 'CAMK2A', 'Sulfabenzamide']","Question: Is galactosemia an indication for Sulfabenzamide?
Reasoning: The disease galactosemia is associated with the phenotype Hepatomegaly, which in turn affects the gene CAMK2A. This gene is not targeted by the drug Sulfabenzamide. These connections suggest that Sulfabenzamide may not be effective in treating galactosemia.
Answer: NO"
14597,33410,Dapsone,dermatitis herpetiformis,disease-phenotype-protein-drug,indication,"['dermatitis herpetiformis', 'Edema', 'PTGS2', 'Dapsone']","Question: Is dermatitis herpetiformis an indication for Dapsone?
Reasoning: The disease dermatitis herpetiformis is associated with the phenotype Edema, which in turn affects the gene PTGS2. This gene is targeted by the drug Dapsone. These connections suggest that Dapsone may be effective in treating dermatitis herpetiformis.
Answer: YES"
15064,36035,Mometasone furoate,hypertension,disease-protein-drug,contraindication,"['hypertension', 'CYP3A5', 'Mometasone furoate']","Question: Is hypertension an indication for Mometasone furoate?
Reasoning: The disease hypertension is associated with the gene CYP3A5, which is not targeted by the drug Mometasone furoate. These connections suggest that Mometasone furoate may not be effective in treating hypertension.
Answer: NO"
14178,28313,Chlorpromazine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR1A', 'Chlorpromazine']","Question: Is schizophrenia an indication for Chlorpromazine?
Reasoning: The disease schizophrenia is associated with the gene HTR1A, which is targeted by the drug Chlorpromazine. These connections suggest that Chlorpromazine may be effective in treating schizophrenia.
Answer: YES"
14807,83823,Epinephrine,coronary thrombosis,disease-protein-drug,contraindication,"['coronary thrombosis', 'TNF', 'Epinephrine']","Question: Is coronary thrombosis an indication for Epinephrine?
Reasoning: The disease coronary thrombosis is associated with the gene TNF, which is not targeted by the drug Epinephrine. These connections suggest that Epinephrine may not be effective in treating coronary thrombosis.
Answer: NO"
14198,83760,Clonidine,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'ADRA2A', 'Clonidine']","Question: Is dysthymic disorder an indication for Clonidine?
Reasoning: The disease dysthymic disorder is associated with the gene ADRA2A, which is not targeted by the drug Clonidine. These connections suggest that Clonidine may not be effective in treating dysthymic disorder.
Answer: NO"
15984,29078,Oxaprozin,rheumatoid arthritis,disease-protein-drug,indication,"['rheumatoid arthritis', 'PTGS1', 'Oxaprozin']","Question: Is rheumatoid arthritis an indication for Oxaprozin?
Reasoning: The disease rheumatoid arthritis is associated with the gene PTGS1, which is targeted by the drug Oxaprozin. These connections suggest that Oxaprozin may be effective in treating rheumatoid arthritis.
Answer: YES"
14338,32202,Colchicine,familial Mediterranean fever,disease-phenotype-protein-drug,indication,"['familial Mediterranean fever', 'Proteinuria', 'ALB', 'Colchicine']","Question: Is familial Mediterranean fever an indication for Colchicine?
Reasoning: The disease familial Mediterranean fever is associated with the phenotype Proteinuria, which in turn affects the gene ALB. This gene is targeted by the drug Colchicine. These connections suggest that Colchicine may be effective in treating familial Mediterranean fever.
Answer: YES"
14542,27933,Maprotiline,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'SLC6A2', 'Maprotiline']","Question: Is anxiety disorder an indication for Maprotiline?
Reasoning: The disease anxiety disorder is associated with the gene SLC6A2, which is targeted by the drug Maprotiline. These connections suggest that Maprotiline may be effective in treating anxiety disorder.
Answer: YES"
14275,83822,Doxorubicin,"theca steroid-producing cell malignant tumor of ovary, not further specified",disease-protein-drug,indication,"['theca steroid-producing cell malignant tumor of ovary, not further specified', 'CYP1B1', 'Doxorubicin']","Question: Is theca steroid-producing cell malignant tumor of ovary, not further specified an indication for Doxorubicin?
Reasoning: The disease theca steroid-producing cell malignant tumor of ovary, not further specified is associated with the gene CYP1B1, which is targeted by the drug Doxorubicin. These connections suggest that Doxorubicin may be effective in treating theca steroid-producing cell malignant tumor of ovary, not further specified.
Answer: YES"
15211,27933,Desvenlafaxine,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'CYP2D6', 'Desvenlafaxine']","Question: Is anxiety disorder an indication for Desvenlafaxine?
Reasoning: The disease anxiety disorder is associated with the gene CYP2D6, which is targeted by the drug Desvenlafaxine. These connections suggest that Desvenlafaxine may be effective in treating anxiety disorder.
Answer: YES"
