drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,prefix
14510,27626,Heparin,thrombocytopenia,disease-phenotype-protein-drug,contraindication,"['thrombocytopenia', 'Thrombocytopenia', 'PF4', 'Heparin']","Question: Is thrombocytopenia an indication for Heparin?
Answer: NO"
14275,83817,Doxorubicin,hereditary site-specific ovarian cancer syndrome,disease-protein-drug,indication,"['hereditary site-specific ovarian cancer syndrome', 'CYP1B1', 'Doxorubicin']","Question: Is hereditary site-specific ovarian cancer syndrome an indication for Doxorubicin?
Answer: YES"
14961,30035,Simvastatin,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'CYP2B6', 'Simvastatin']","Question: Is substance abuse/dependence an indication for Simvastatin?
Answer: NO"
14176,83840,Fluoxetine,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'ALB', 'Fluoxetine']","Question: Is unipolar depression an indication for Fluoxetine?
Answer: YES"
15187,38312,Nilotinib,hereditary hyperbilirubinemia,disease-protein-drug,contraindication,"['hereditary hyperbilirubinemia', 'UGT1A1', 'Nilotinib']","Question: Is hereditary hyperbilirubinemia an indication for Nilotinib?
Answer: NO"
14178,30324,Chlorpromazine,blepharospasm,disease-protein-drug,contraindication,"['blepharospasm', 'DRD5', 'Chlorpromazine']","Question: Is blepharospasm an indication for Chlorpromazine?
Answer: NO"
14188,33314,Ciprofloxacin,leptospirosis,disease-phenotype-protein-drug,indication,"['leptospirosis', 'Hepatomegaly', 'ALB', 'Ciprofloxacin']","Question: Is leptospirosis an indication for Ciprofloxacin?
Answer: YES"
20394,27286,Sulfabenzamide,galactosemia,disease-phenotype-protein-drug,contraindication,"['galactosemia', 'Hepatomegaly', 'CAMK2A', 'Sulfabenzamide']","Question: Is galactosemia an indication for Sulfabenzamide?
Answer: NO"
14597,33410,Dapsone,dermatitis herpetiformis,disease-phenotype-protein-drug,indication,"['dermatitis herpetiformis', 'Edema', 'PTGS2', 'Dapsone']","Question: Is dermatitis herpetiformis an indication for Dapsone?
Answer: YES"
15064,36035,Mometasone furoate,hypertension,disease-protein-drug,contraindication,"['hypertension', 'CYP3A5', 'Mometasone furoate']","Question: Is hypertension an indication for Mometasone furoate?
Answer: NO"
14178,28313,Chlorpromazine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR1A', 'Chlorpromazine']","Question: Is schizophrenia an indication for Chlorpromazine?
Answer: YES"
14807,83823,Epinephrine,coronary thrombosis,disease-protein-drug,contraindication,"['coronary thrombosis', 'TNF', 'Epinephrine']","Question: Is coronary thrombosis an indication for Epinephrine?
Answer: NO"
14198,83760,Clonidine,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'ADRA2A', 'Clonidine']","Question: Is dysthymic disorder an indication for Clonidine?
Answer: NO"
15984,29078,Oxaprozin,rheumatoid arthritis,disease-protein-drug,indication,"['rheumatoid arthritis', 'PTGS1', 'Oxaprozin']","Question: Is rheumatoid arthritis an indication for Oxaprozin?
Answer: YES"
14338,32202,Colchicine,familial Mediterranean fever,disease-phenotype-protein-drug,indication,"['familial Mediterranean fever', 'Proteinuria', 'ALB', 'Colchicine']","Question: Is familial Mediterranean fever an indication for Colchicine?
Answer: YES"
14542,27933,Maprotiline,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'SLC6A2', 'Maprotiline']","Question: Is anxiety disorder an indication for Maprotiline?
Answer: YES"
14275,83822,Doxorubicin,"theca steroid-producing cell malignant tumor of ovary, not further specified",disease-protein-drug,indication,"['theca steroid-producing cell malignant tumor of ovary, not further specified', 'CYP1B1', 'Doxorubicin']","Question: Is theca steroid-producing cell malignant tumor of ovary, not further specified an indication for Doxorubicin?
Answer: YES"
15211,27933,Desvenlafaxine,anxiety disorder,disease-protein-drug,indication,"['anxiety disorder', 'CYP2D6', 'Desvenlafaxine']","Question: Is anxiety disorder an indication for Desvenlafaxine?
Answer: YES"
15104,27503,Dextromethorphan,catecholaminergic polymorphic ventricular tachycardia,disease-phenotype-protein-drug,contraindication,"['catecholaminergic polymorphic ventricular tachycardia', 'Seizure', 'SLC6A2', 'Dextromethorphan']","Question: Is catecholaminergic polymorphic ventricular tachycardia an indication for Dextromethorphan?
Answer: NO"
16434,38003,Acetophenazine,basal ganglia disease,disease-protein-drug,contraindication,"['basal ganglia disease', 'DRD2', 'Acetophenazine']","Question: Is basal ganglia disease an indication for Acetophenazine?
Answer: NO"
14284,37764,Fenofibrate,familial hyperlipidemia,disease-protein-drug,indication,"['familial hyperlipidemia', 'PPARA', 'Fenofibrate']","Question: Is familial hyperlipidemia an indication for Fenofibrate?
Answer: YES"
14559,35583,Calcitriol,phosphorus metabolism disease,disease-protein-drug,contraindication,"['phosphorus metabolism disease', 'CYP24A1', 'Calcitriol']","Question: Is phosphorus metabolism disease an indication for Calcitriol?
Answer: NO"
14294,83760,Clonazepam,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'ALB', 'Clonazepam']","Question: Is dysthymic disorder an indication for Clonazepam?
Answer: NO"
14245,83760,Diazepam,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'GABRA6', 'Diazepam']","Question: Is dysthymic disorder an indication for Diazepam?
Answer: NO"
16014,28780,Chlorprothixene,Alzheimer disease,disease-phenotype-protein-drug,contraindication,"['Alzheimer disease', 'Seizure', 'ABCC2', 'Chlorprothixene']","Question: Is Alzheimer disease an indication for Chlorprothixene?
Answer: NO"
14042,83769,Hydrocortisone acetate,precursor T-cell acute lymphoblastic leukemia,disease-protein-drug,indication,"['precursor T-cell acute lymphoblastic leukemia', 'ABCG2', 'Hydrocortisone acetate']","Question: Is precursor T-cell acute lymphoblastic leukemia an indication for Hydrocortisone acetate?
Answer: YES"
14590,36432,Ozanimod,congestive heart failure,disease-protein-drug,contraindication,"['congestive heart failure', 'NFE2L2', 'Ozanimod']","Question: Is congestive heart failure an indication for Ozanimod?
Answer: NO"
15209,83840,Vilazodone,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'HTR1A', 'Vilazodone']","Question: Is unipolar depression an indication for Vilazodone?
Answer: YES"
14792,35771,Paclitaxel,breast neoplasm,disease-protein-drug,indication,"['breast neoplasm', 'BCL2', 'Paclitaxel']","Question: Is breast neoplasm an indication for Paclitaxel?
Answer: YES"
14177,83840,Duloxetine,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'ABCB1', 'Duloxetine']","Question: Is unipolar depression an indication for Duloxetine?
Answer: YES"
14806,31408,Entacapone,X-linked parkinsonism-spasticity syndrome,disease-phenotype-protein-drug,indication,"['X-linked parkinsonism-spasticity syndrome', 'Cogwheel rigidity', 'CYP2D6', 'Entacapone']","Question: Is X-linked parkinsonism-spasticity syndrome an indication for Entacapone?
Answer: YES"
14024,29078,Prednisone,rheumatoid arthritis,disease-protein-drug,indication,"['rheumatoid arthritis', 'HSD11B1', 'Prednisone']","Question: Is rheumatoid arthritis an indication for Prednisone?
Answer: YES"
14999,28249,Quetiapine,major affective disorder,disease-protein-drug,indication,"['major affective disorder', 'HTR1B', 'Quetiapine']","Question: Is major affective disorder an indication for Quetiapine?
Answer: YES"
14380,28313,Asenapine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR1B', 'Asenapine']","Question: Is schizophrenia an indication for Asenapine?
Answer: YES"
17306,83910,Phenmetrazine,drug psychosis,disease-protein-drug,contraindication,"['drug psychosis', 'SLC6A3', 'Phenmetrazine']","Question: Is drug psychosis an indication for Phenmetrazine?
Answer: NO"
14999,28313,Quetiapine,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR7', 'Quetiapine']","Question: Is schizophrenia an indication for Quetiapine?
Answer: YES"
14323,33454,Aripiprazole,neuroleptic malignant syndrome,disease-phenotype-protein-drug,contraindication,"['neuroleptic malignant syndrome', 'Bradycardia', 'CHRM2', 'Aripiprazole']","Question: Is neuroleptic malignant syndrome an indication for Aripiprazole?
Answer: NO"
15457,30035,Flurazepam,substance abuse/dependence,disease-protein-drug,contraindication,"['substance abuse/dependence', 'GABRG2', 'Flurazepam']","Question: Is substance abuse/dependence an indication for Flurazepam?
Answer: NO"
14321,33594,Levodopa,diarrheal disease,disease-protein-drug,contraindication,"['diarrheal disease', 'IL1A', 'Levodopa']","Question: Is diarrheal disease an indication for Levodopa?
Answer: NO"
14323,28313,Aripiprazole,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HRH1', 'Aripiprazole']","Question: Is schizophrenia an indication for Aripiprazole?
Answer: YES"
14713,83855,Decitabine,acute myeloid leukemia with t(8;21)(q22;q22) translocation,disease-protein-drug,indication,"['acute myeloid leukemia with t(8;21)(q22;q22) translocation', 'DNMT3A', 'Decitabine']","Question: Is acute myeloid leukemia with t(8;21)(q22;q22) translocation an indication for Decitabine?
Answer: YES"
14685,83760,Progesterone,dysthymic disorder,disease-protein-drug,contraindication,"['dysthymic disorder', 'CYP2D6', 'Progesterone']","Question: Is dysthymic disorder an indication for Progesterone?
Answer: NO"
14176,38957,Fluoxetine,major depressive disorder,disease-protein-drug,indication,"['major depressive disorder', 'CYP2D6', 'Fluoxetine']","Question: Is major depressive disorder an indication for Fluoxetine?
Answer: YES"
15493,84023,Bromocriptine,acquired hyperprolactinemia,disease-protein-drug,indication,"['acquired hyperprolactinemia', 'DRD2', 'Bromocriptine']","Question: Is acquired hyperprolactinemia an indication for Bromocriptine?
Answer: YES"
14191,32928,Piroxicam,acute liver failure,disease-phenotype-protein-drug,contraindication,"['acute liver failure', 'Fever', 'PTGS2', 'Piroxicam']","Question: Is acute liver failure an indication for Piroxicam?
Answer: NO"
14789,30654,Daunorubicin,acute lymphoblastic/lymphocytic leukemia,disease-protein-drug,indication,"['acute lymphoblastic/lymphocytic leukemia', 'ABCG2', 'Daunorubicin']","Question: Is acute lymphoblastic/lymphocytic leukemia an indication for Daunorubicin?
Answer: YES"
14190,37144,Fluorouracil,squamous cell carcinoma of colon,disease-protein-drug,indication,"['squamous cell carcinoma of colon', 'TYMP', 'Fluorouracil']","Question: Is squamous cell carcinoma of colon an indication for Fluorouracil?
Answer: YES"
14140,28313,Ziprasidone,schizophrenia,disease-protein-drug,indication,"['schizophrenia', 'HTR6', 'Ziprasidone']","Question: Is schizophrenia an indication for Ziprasidone?
Answer: YES"
15138,83840,Selegiline,unipolar depression,disease-protein-drug,indication,"['unipolar depression', 'MAOB', 'Selegiline']","Question: Is unipolar depression an indication for Selegiline?
Answer: YES"
14476,35966,Testosterone cypionate,prostate cancer,disease-protein-drug,contraindication,"['prostate cancer', 'CYP3A5', 'Testosterone cypionate']","Question: Is prostate cancer an indication for Testosterone cypionate?
Answer: NO"
14141,30184,Phenytoin,congenital neutropenia-myelofibrosis-nephromegaly syndrome,disease-phenotype-protein-drug,contraindication,"['congenital neutropenia-myelofibrosis-nephromegaly syndrome', 'Hepatomegaly', 'CYP1A2', 'Phenytoin']","Question: Is congenital neutropenia-myelofibrosis-nephromegaly syndrome an indication for Phenytoin?
Answer: NO"
14140,38242,Ziprasidone,bipolar disorder,disease-protein-drug,indication,"['bipolar disorder', 'DRD2', 'Ziprasidone']","Question: Is bipolar disorder an indication for Ziprasidone?
Answer: YES"
15778,27219,Tolazamide,hypogonadotropic hypogonadism with or without anosmia,disease-phenotype-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Hearing impairment', 'RSPH4A', 'Tolazamide']","Question: Is hypogonadotropic hypogonadism with or without anosmia an indication for Tolazamide?
Answer: NO"
14023,39540,Triamcinolone,angioedema,disease-protein-drug,indication,"['angioedema', 'ALB', 'Triamcinolone']","Question: Is angioedema an indication for Triamcinolone?
Answer: YES"
14945,83869,Sorafenib,fibrolamellar hepatocellular carcinoma,disease-protein-drug,indication,"['fibrolamellar hepatocellular carcinoma', 'BRAF', 'Sorafenib']","Question: Is fibrolamellar hepatocellular carcinoma an indication for Sorafenib?
Answer: YES"
