drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
14014,33675.0,Flunisolide,asthma,disease-exposure-bioprocess-gene-drug,indication,"['asthma', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Flunisolide']",0.5
14014,35565.0,Flunisolide,liver disease,disease-exposure-bioprocess-gene-drug,contraindication,"['liver disease', 'perfluorooctane sulfonic acid', 'cholesterol metabolic process', 'CYP3A4', 'Flunisolide']",0.5
14014,37888.0,Flunisolide,allergic rhinitis,disease-exposure-bioprocess-gene-drug,indication,"['allergic rhinitis', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Flunisolide']",0.5
14017,33575.0,Fluorometholone,diabetes mellitus (disease),disease-exposure-bioprocess-gene-drug,contraindication,"['diabetes mellitus (disease)', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Fluorometholone']",0.5
14017,33581.0,Fluorometholone,conjunctivitis (disease),disease-exposure-bioprocess-gene-drug,contraindication,"['conjunctivitis (disease)', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Fluorometholone']",0.5
14017,83830.0,Fluorometholone,ocular hypertension,disease-protein-drug,contraindication,"['ocular hypertension', 'NR3C1', 'Fluorometholone']",0.5
14018,30813.0,Beclomethasone dipropionate,Addison disease,disease-phenotype-protein-drug,contraindication,"['Addison disease', 'Vomiting', 'ABCB1', 'Beclomethasone dipropionate']",0.5
14018,33675.0,Beclomethasone dipropionate,asthma,disease-exposure-bioprocess-gene-drug,indication,"['asthma', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14018,35565.0,Beclomethasone dipropionate,liver disease,disease-exposure-bioprocess-gene-drug,contraindication,"['liver disease', 'perfluorooctane sulfonic acid', 'cholesterol metabolic process', 'CYP3A4', 'Beclomethasone dipropionate']",0.5
14018,37811.0,Beclomethasone dipropionate,rhinitis,disease-exposure-bioprocess-gene-drug,indication,"['rhinitis', 'Air Pollutants', 'negative regulation of transcription, DNA-templated', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14018,37888.0,Beclomethasone dipropionate,allergic rhinitis,disease-exposure-bioprocess-gene-drug,indication,"['allergic rhinitis', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14018,83830.0,Beclomethasone dipropionate,ocular hypertension,disease-protein-drug,contraindication,"['ocular hypertension', 'NR3C1', 'Beclomethasone dipropionate']",0.5
14019,27219.0,Betamethasone,hypogonadotropic hypogonadism with or without anosmia,disease-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'CYP19A1', 'Betamethasone']",0.5
14019,27249.0,Betamethasone,isolated growth hormone deficiency,disease-protein-drug,contraindication,"['isolated growth hormone deficiency', 'CYP19A1', 'Betamethasone']",0.5
14019,27452.0,Betamethasone,Diamond-Blackfan anemia,disease-phenotype-protein-drug,indication,"['Diamond-Blackfan anemia', 'Thrombocytopenia', 'ALB', 'Betamethasone']",0.5
14019,27741.0,Betamethasone,pituitary deficiency due to empty sella turcica syndrome,disease-protein-drug,contraindication,"['pituitary deficiency due to empty sella turcica syndrome', 'CYP19A1', 'Betamethasone']",0.5
14019,28005.0,Betamethasone,developmental and epileptic encephalopathy,disease-phenotype-protein-drug,off-label use,"['developmental and epileptic encephalopathy', 'Hepatomegaly', 'ALB', 'Betamethasone']",0.5
14019,28158.0,Betamethasone,inflammatory bowel disease,disease-protein-drug,indication,"['inflammatory bowel disease', 'ABCB1', 'Betamethasone']",0.5
14019,28158.0,Betamethasone,inflammatory bowel disease,disease-exposure-bioprocess-gene-drug,indication,"['inflammatory bowel disease', 'Tobacco Smoke Pollution', 'lipid metabolic process', 'CYP3A4', 'Betamethasone']",0.5
14019,28158.0,Betamethasone,inflammatory bowel disease,disease-phenotype-protein-drug,indication,"['inflammatory bowel disease', 'Vomiting', 'ABCB1', 'Betamethasone']",0.5
14019,28407.0,Betamethasone,hypogonadotropic hypogonadism,disease-protein-drug,contraindication,"['hypogonadotropic hypogonadism', 'CYP19A1', 'Betamethasone']",0.5
14019,28478.0,Betamethasone,autoimmune disease,disease-exposure-bioprocess-gene-drug,indication,"['autoimmune disease', 'Particulate Matter', 'apoptotic process', 'NR3C1', 'Betamethasone']",0.5
14019,28478.0,Betamethasone,autoimmune disease,disease-exposure-gene-drug,indication,"['autoimmune disease', 'Particulate Matter', 'CYP1B1', 'Betamethasone']",0.5
