drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'cholinesterase activity', 'CHKA', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'cholinesterase activity', 'BCHE', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'cholinesterase activity', 'ACHE', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'transaminase activity', 'ETNPPL', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'transaminase activity', 'PHYKPL', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'transaminase activity', 'AGXT', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'transaminase activity', 'AADAT', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'transaminase activity', 'AMT', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'alkaline phosphatase activity', 'ALPG', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'alkaline phosphatase activity', 'ALPL', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'alkaline phosphatase activity', 'ALPP', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Arsenic', 'alkaline phosphatase activity', 'ALPI', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'bisphenol A', 'alkaline phosphatase activity', 'ALPG', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'bisphenol A', 'alkaline phosphatase activity', 'ALPL', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'bisphenol A', 'alkaline phosphatase activity', 'ALPP', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'bisphenol A', 'alkaline phosphatase activity', 'ALPI', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Insecticides', 'cholinesterase activity', 'CHKA', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Insecticides', 'cholinesterase activity', 'BCHE', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Insecticides', 'cholinesterase activity', 'ACHE', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Lead', 'porphobilinogen synthase activity', 'ALAD', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Triazines', 'cholinesterase activity', 'CHKA', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Triazines', 'cholinesterase activity', 'BCHE', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Triazines', 'cholinesterase activity', 'ACHE', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Hydrocarbons, Chlorinated', 'enzyme activator activity', 'SAE1', 'Ethosuximide']",1
15449,27933,Ethosuximide,anxiety disorder,disease-exposure-molfunc-gene-drug,contraindication,"['anxiety disorder', 'Hydrocarbons, Chlorinated', 'enzyme activator activity', 'RAB3GAP2', 'Ethosuximide']",1
