drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
14014.0,33675.0,Flunisolide,asthma,disease-exposure-bioprocess-gene-drug,indication,"['asthma', 'Flunisolide', 'perfluorooctanoic acid', 'CYP3A4', 'cholesterol metabolic process']",0.00924928004568818
14014.0,35565.0,Flunisolide,liver disease,disease-exposure-bioprocess-gene-drug,contraindication,"['liver disease', 'Flunisolide', 'perfluorooctanoic acid', 'CYP3A4', 'cholesterol metabolic process']",0.009991698879919457
14014.0,37888.0,Flunisolide,allergic rhinitis,disease-exposure-bioprocess-gene-drug,indication,"['allergic rhinitis', 'Flunisolide', 'Air Pollutants', 'NR3C1', 'negative regulation of transcription, DNA-templated']",0.005321266205746064
14017.0,33575.0,Fluorometholone,diabetes mellitus (disease),disease-exposure-bioprocess-gene-drug,contraindication,"['diabetes mellitus (disease)', 'Fluorometholone', 'Pesticides', 'CYP3A4', 'cholesterol metabolic process']",0.007790084927768807
14017.0,33581.0,Fluorometholone,conjunctivitis (disease),disease-exposure-bioprocess-gene-drug,contraindication,"['conjunctivitis (disease)', 'Fluorometholone', 'Particulate Matter', 'NR3C1', 'apoptotic process']",0.006770679577372685
14017.0,83830.0,Fluorometholone,ocular hypertension,disease-protein-drug,contraindication,"['ocular hypertension', 'Fluorometholone', 'NR3C1']",0.0008563683719083857
14018.0,30813.0,Beclomethasone dipropionate,Addison disease,disease-phenotype-protein-drug,contraindication,"['Addison disease', 'Beclomethasone dipropionate', 'ABCB1', 'Vomiting']",0.003112256665057581
14018.0,33675.0,Beclomethasone dipropionate,asthma,disease-exposure-bioprocess-gene-drug,indication,"['asthma', 'Beclomethasone dipropionate', 'perfluorodecanoic acid', 'CYP3A4', 'cholesterol metabolic process']",0.0061238377932160675
14018.0,35565.0,Beclomethasone dipropionate,liver disease,disease-exposure-bioprocess-gene-drug,contraindication,"['liver disease', 'Beclomethasone dipropionate', 'perfluorooctane sulfonic acid', 'CYP3A4', 'cholesterol metabolic process']",0.009235372344716965
14018.0,37811.0,Beclomethasone dipropionate,rhinitis,disease-exposure-bioprocess-gene-drug,indication,"['rhinitis', 'Beclomethasone dipropionate', 'Particulate Matter', 'NR3C1', 'apoptotic process']",0.006667322148411691
14018.0,37888.0,Beclomethasone dipropionate,allergic rhinitis,disease-exposure-bioprocess-gene-drug,indication,"['allergic rhinitis', 'Beclomethasone dipropionate', 'Air Pollutants', 'NR3C1', 'negative regulation of transcription, DNA-templated']",0.005386656470183527
14018.0,83830.0,Beclomethasone dipropionate,ocular hypertension,disease-protein-drug,contraindication,"['ocular hypertension', 'Beclomethasone dipropionate', 'NR3C1']",0.0008351940003980231
14019.0,27219.0,Betamethasone,hypogonadotropic hypogonadism with or without anosmia,disease-protein-drug,contraindication,"['hypogonadotropic hypogonadism with or without anosmia', 'Betamethasone', 'CYP19A1']",0.002239871716828715
14019.0,27249.0,Betamethasone,isolated growth hormone deficiency,disease-protein-drug,contraindication,"['isolated growth hormone deficiency', 'Betamethasone', 'CYP19A1']",0.0022178906000820493
14019.0,27452.0,Betamethasone,Diamond-Blackfan anemia,disease-phenotype-protein-drug,indication,"['Diamond-Blackfan anemia', 'Betamethasone', 'ALB', 'Thrombocytopenia']",0.004226926903555984
14019.0,27741.0,Betamethasone,pituitary deficiency due to empty sella turcica syndrome,disease-protein-drug,contraindication,"['pituitary deficiency due to empty sella turcica syndrome', 'Betamethasone', 'CYP19A1']",0.002027031626104338
14019.0,28005.0,Betamethasone,developmental and epileptic encephalopathy,disease-phenotype-protein-drug,off-label use,"['developmental and epileptic encephalopathy', 'Betamethasone', 'ALB', 'Hepatomegaly']",0.004698460626058113
