drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score,prefix
17128,84088,Eflornithine,dermatitis,disease-disease-drug,contraindication,"['dermatitis', 'acneiform dermatitis', 'Eflornithine']",0.0058276947732652,"Question: Is dermatitis an indication for Eflornithine?
Reasoning: <ddd>The disease dermatitis is linked to acneiform dermatitis, but since acneiform dermatitis is not associated with the drug Eflornithine, this suggests that Eflornithine may not be effective for treating dermatitis.<ddd>
Answer: NO"
15908,83924,Glutamic acid,chronic kidney disease,disease-disease-drug,contraindication,"['chronic kidney disease', 'end stage renal failure', 'Glutamic acid']",0.0030529344911673,"Question: Is chronic kidney disease an indication for Glutamic acid?
Reasoning: <ddd>The disease:chronic kidney disease is related to the disease:end stage renal failure, which is related to the drug:Glutamic acid. This indicates that the drug:Glutamic acid may be effective for the disease:chronic kidney disease.<ddd>
Answer: YES"
15549,36705,Dexlansoprazole,gallbladder disease,disease-disease-drug,contraindication,"['gallbladder disease', 'hepatobiliary disease', 'Dexlansoprazole']",0.0013002331078199,"Question: Is gallbladder disease an indication for Dexlansoprazole?
Reasoning: <ddd>The disease gallbladder disease is linked to hepatobiliary disease, but since hepatobiliary disease is not associated with the drug Dexlansoprazole, this suggests that Dexlansoprazole may not be effective for treating gallbladder disease.<ddd>
Answer: NO"
15495,83778,Estazolam,psychotic disorder,disease-disease-drug,contraindication,"['psychotic disorder', 'schizophreniform disorder', 'Estazolam']",0.0004263429616195,"Question: Is psychotic disorder an indication for Estazolam?
Reasoning: <ddd>The disease:psychotic disorder is related to the disease:schizophreniform disorder, which is related to the drug:Estazolam. This indicates that the drug:Estazolam may be effective for the disease:psychotic disorder.<ddd>
Answer: YES"
15143,30988,Bicalutamide,diabetes mellitus (disease),disease-disease-drug,contraindication,"['diabetes mellitus (disease)', 'Wolcott-Rallison syndrome', 'Bicalutamide']",0.0047422358745113,"Question: Is diabetes mellitus (disease) an indication for Bicalutamide?
Reasoning: <ddd>The disease diabetes mellitus (disease) is linked to Wolcott-Rallison syndrome, but since Wolcott-Rallison syndrome is not associated with the drug Bicalutamide, this suggests that Bicalutamide may not be effective for treating diabetes mellitus (disease).<ddd>
Answer: NO"
14604,30075,Etoposide,Burkitt lymphoma,disease-exposure-molfunc-gene-drug,off-label use,"['Burkitt lymphoma', 'Pesticides', 'cholinesterase activity', 'CHKA', 'Etoposide']",0.0037050493409827,"Question: Is Burkitt lymphoma an indication for Etoposide?
Reasoning: <demgd>The disease Burkitt lymphoma is associated with the exposure Pesticides, which in turn affects the molecular function cholinesterase activity. This function is linked to the gene CHKA, which is not targeted by the drug Etoposide. These connections suggest that Etoposide may not be effective in treating Burkitt lymphoma.<demgd>
Answer: NO"
14171,33454,Meperidine,neuroleptic malignant syndrome,disease-phenotype-protein-drug,contraindication,"['neuroleptic malignant syndrome', 'Elevated hepatic transaminase', 'CYP1A2', 'Meperidine']",0.0019050361171637,"Question: Is neuroleptic malignant syndrome an indication for Meperidine?
Reasoning: <dppd>The disease neuroleptic malignant syndrome is associated with the phenotype Elevated hepatic transaminase, which in turn affects the gene CYP1A2. This gene is targeted by the drug Meperidine. These connections suggest that Meperidine may be effective in treating neuroleptic malignant syndrome.<dppd>
Answer: YES"
14610,38957,Ketamine,major depressive disorder,disease-exposure-cellcomp-gene-drug,off-label use,"['major depressive disorder', 'Particulate Matter', 'mucus layer', 'MUC5AC', 'Ketamine']",0.0018173166897302,"Question: Is major depressive disorder an indication for Ketamine?
Reasoning: <decgd>The disease major depressive disorder is associated with the exposure Particulate Matter, which in turn affects the cell component mucus layer. This component is linked to the gene MUC5AC, which is not targeted by the drug Ketamine. These connections suggest that Ketamine may not be effective in treating major depressive disorder.<decgd>
Answer: NO"
14976,27933,Triazolam,anxiety disorder,disease-exposure-bioprocess-gene-drug,contraindication,"['anxiety disorder', 'Particulate Matter', 'nervous system process', 'GABRG2', 'Triazolam']",0.0014109153372364,"Question: Is anxiety disorder an indication for Triazolam?
Reasoning: <debgd>The disease anxiety disorder is associated with the exposure Particulate Matter, which in turn affects the biological process nervous system process. This process is linked to the gene GABRG2, which is targeted by the drug Triazolam. These connections suggest that Triazolam may be effective in treating anxiety disorder.<debgd>
Answer: YES"
14060,35669,Levothyroxine,heart disease,disease-exposure-molfunc-gene-drug,contraindication,"['heart disease', 'Arsenic', 'cholinesterase activity', 'BCHE', 'Levothyroxine']",0.0238715535693668,"Question: Is heart disease an indication for Levothyroxine?
Reasoning: <demgd>The disease heart disease is associated with the exposure Arsenic, which in turn affects the molecular function cholinesterase activity. This function is linked to the gene BCHE, which is not targeted by the drug Levothyroxine. These connections suggest that Levothyroxine may not be effective in treating heart disease.<demgd>
Answer: NO"
