drug_index,disease_index,drug_name,disease_name,path_type,original_relation,nodes,score
14023,32812,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'ichthyosis prematurity syndrome', 'Triamcinolone']",0.0017231576140366279
14023,35552,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'pneumonia', 'Triamcinolone']",0.0017388320982908694
14023,35638,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'inflammatory disease', 'Triamcinolone']",0.0017319052036154706
14023,35823,Triamcinolone,eye disease,disease-exposure-cellcomp-gene-drug,indication,"['eye disease', 'Particulate Matter', 'proteasome complex', 'USP14', 'Triamcinolone']",0.0025645368937807955
14023,35833,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'lung disease', 'Triamcinolone']",0.0017545065825451108
14023,36108,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'extrinsic allergic alveolitis', 'Triamcinolone']",0.0017231576140366279
14023,36371,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'radiation-induced disorder', 'Triamcinolone']",0.0017231576140366279
14023,36836,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'interstitial lung disease', 'Triamcinolone']",0.0017231576140366279
14023,97168,Triamcinolone,pneumonitis,disease-disease-drug,indication,"['pneumonitis', 'lipid pneumonia', 'Triamcinolone']",0.0017231576140366279
14028,27430,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'Niemann-Pick disease', 'Hydrocortisone']",0.002234378562016413
14028,27749,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'generalized eruptive histiocytosis', 'Hydrocortisone']",0.002234378562016413
14028,27837,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'hereditary progressive mucinous histiocytosis', 'Hydrocortisone']",0.002234378562016413
14028,29651,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'sea-blue histiocyte syndrome', 'Hydrocortisone']",0.002234378562016413
14028,30264,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'letterer-Siwe disease', 'Hydrocortisone']",0.002234378562016413
14028,32748,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'multicentric reticulohistiocytosis', 'Hydrocortisone']",0.002234378562016413
14028,32952,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'benign cephalic histiocytosis', 'Hydrocortisone']",0.002234378562016413
14028,33506,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'papular xanthoma', 'Hydrocortisone']",0.002234378562016413
14028,33508,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'xanthoma disseminatum', 'Hydrocortisone']",0.002234378562016413
14028,33509,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'xanthogranuloma', 'Hydrocortisone']",0.002234378562016413
14028,33521,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'progressive nodular histiocytosis', 'Hydrocortisone']",0.002234378562016413
14028,33528,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'Rosai-Dorfman disease', 'Hydrocortisone']",0.002234378562016413
14028,33533,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'Erdheim-Chester disease', 'Hydrocortisone']",0.002234378562016413
14028,35519,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'leukocyte disease', 'Hydrocortisone']",0.002277225608109054
14028,36342,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'secondary interstitial lung disease specific to adulthood associated with a systemic disease', 'Hydrocortisone']",0.002234378562016413
14028,36452,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'systemic disease', 'Hydrocortisone']",0.002234378562016413
14028,36701,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'childhood neoplasm', 'Hydrocortisone']",0.002234378562016413
14028,36812,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'lung neoplasm', 'Hydrocortisone']",0.002234378562016413
14028,36923,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'histiocytosis', 'Hydrocortisone']",0.002234378562016413
14028,37841,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'dendritic cell tumor', 'Hydrocortisone']",0.002234378562016413
14028,38653,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'secondary interstitial lung disease in childhood and adulthood associated with a systemic disease', 'Hydrocortisone']",0.002234378562016413
14028,39097,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'secondary interstitial lung disease specific to childhood associated with a systemic disease', 'Hydrocortisone']",0.002234378562016413
14028,39599,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'eosinophilic granuloma', 'Hydrocortisone']",0.002234378562016413
14028,84259,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'hand-Schuller-Christian disease', 'Hydrocortisone']",0.002234378562016413
14028,97987,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'necrobiotic xanthogranuloma', 'Hydrocortisone']",0.002234378562016413
14028,97988,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'indeterminate dendritic cell tumor', 'Hydrocortisone']",0.002234378562016413
14028,98867,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'Hashimoto-Pritzker syndrome', 'Hydrocortisone']",0.002234378562016413
14028,98868,Hydrocortisone,Langerhans cell histiocytosis,disease-disease-drug,indication,"['Langerhans cell histiocytosis', 'adult pulmonary Langerhans cell histiocytosis', 'Hydrocortisone']",0.002234378562016413
14034,27585,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'short stature-delayed bone age due to thyroid hormone metabolism deficiency', 'Budesonide']",0.02680341541494386
14034,27834,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'autoimmune polyendocrine', 'Budesonide']",0.02680341541494386
14034,28090,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'Allan-Herndon-Dudley syndrome', 'Budesonide']",0.02680341541494386
14034,29370,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'hypothyroidism, congenital, nongoitrous', 'Budesonide']",0.026795951374822793
14034,30196,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'isolated thyroid-stimulating hormone deficiency', 'Budesonide']",0.026795951374822793
14034,30439,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'isolated thyrotropin-releasing hormone deficiency', 'Budesonide']",0.026795951374822793
14034,30780,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'X-linked central congenital hypothyroidism with late-onset testicular enlargement', 'Budesonide']",0.026795951374822793
14034,32345,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'resistance to thyrotropin-releasing hormone syndrome', 'Budesonide']",0.026795951374822793
14034,32711,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'hypothyroidism due to deficient transcription factors involved in pituitary development or function', 'Budesonide']",0.026795951374822793
14034,32719,Budesonide,congenital hypothyroidism,disease-phenotype-protein-drug,contraindication,"['congenital hypothyroidism', 'Hypotonia', 'ABAT', 'Budesonide']",0.026952064145515115
14034,35432,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'Mendelian disease', 'Budesonide']",0.027006247196497055
14034,36252,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'thyroid gland disease', 'Budesonide']",0.02680341541494386
14034,36469,Budesonide,hypothyroidism,disease-exposure-molfunc-gene-drug,contraindication,"['hypothyroidism', 'Hydrocarbons, Chlorinated', 'enzyme activator activity', 'DPM2', 'Budesonide']",0.02723890613274093
14034,38615,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'syndromic hypothyroidism', 'Budesonide']",0.026795951374822793
14034,38624,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'transient congenital hypothyroidism due to maternal factor', 'Budesonide']",0.026795951374822793
14034,38783,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'primary congenital hypothyroidism without thyroid developmental anomaly', 'Budesonide']",0.026795951374822793
14034,38980,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'peripheral resistance to thyroid hormones', 'Budesonide']",0.02680341541494386
14034,39090,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'genetic endocrine growth disease', 'Budesonide']",0.026795951374822793
14034,39280,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'transient congenital hypothyroidism due to neonatal factor', 'Budesonide']",0.026795951374822793
14034,39550,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'congenital hypothyroidism due to developmental anomaly', 'Budesonide']",0.026795951374822793
14034,95801,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'postsurgical hypothyroidism', 'Budesonide']",0.02680341541494386
14034,96166,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'iodine hypothyroidism', 'Budesonide']",0.02680341541494386
14034,98622,Budesonide,hypothyroidism,disease-disease-drug,contraindication,"['hypothyroidism', 'IgG4-related thyroid disease', 'Budesonide']",0.02680341541494386
14034,99766,Budesonide,congenital hypothyroidism,disease-disease-drug,contraindication,"['congenital hypothyroidism', 'hypothyroidism due to iodide transport defect', 'Budesonide']",0.026795951374822793
14042,32866,Hydrocortisone acetate,Hodgkins lymphoma,disease-disease-drug,indication,"['Hodgkins lymphoma', 'nodular lymphocyte predominant Hodgkin lymphoma', 'Hydrocortisone acetate']",0.0031633172509077452
14042,33077,Hydrocortisone acetate,Hodgkins lymphoma,disease-exposure-molfunc-gene-drug,indication,"['Hodgkins lymphoma', 'Pesticides', 'cytochrome-c oxidase activity', 'COX7A2L', 'Hydrocortisone acetate']",0.003487925936234723
14042,36725,Hydrocortisone acetate,Hodgkins lymphoma,disease-disease-drug,indication,"['Hodgkins lymphoma', 'Epstein-Barr virus-associated malignant lymphoproliferative disorder', 'Hydrocortisone acetate']",0.0031842165632467337
14042,94801,Hydrocortisone acetate,Hodgkins lymphoma,disease-disease-drug,indication,"['Hodgkins lymphoma', ""Hodgkin's lymphoma, lymphocytic depletion"", 'Hydrocortisone acetate']",0.0031633172509077452
14042,97397,Hydrocortisone acetate,Hodgkins lymphoma,disease-disease-drug,indication,"['Hodgkins lymphoma', 'splenic hodgkin lymphoma', 'Hydrocortisone acetate']",0.0031633172509077452
14042,97686,Hydrocortisone acetate,Hodgkins lymphoma,disease-disease-drug,indication,"['Hodgkins lymphoma', 'lymphoma, Hodgkin, X-linked pseudoautosomal', 'Hydrocortisone acetate']",0.0031633172509077452
14042,97700,Hydrocortisone acetate,Hodgkins lymphoma,disease-disease-drug,indication,"['Hodgkins lymphoma', 'lymphoma, Hodgkin, Y-linked pseudoautosomal', 'Hydrocortisone acetate']",0.0031633172509077452
14058,29637,Diethylstilbestrol,female reproductive system neoplasm,disease-disease-drug,contraindication,"['female reproductive system neoplasm', 'prolactin producing pituitary gland tumor', 'Diethylstilbestrol']",0.00231555710032189
14058,29934,Diethylstilbestrol,female reproductive system neoplasm,disease-disease-drug,contraindication,"['female reproductive system neoplasm', 'Becker nevus syndrome', 'Diethylstilbestrol']",0.00231555710032189
14058,35622,Diethylstilbestrol,female reproductive system neoplasm,disease-disease-drug,contraindication,"['female reproductive system neoplasm', 'reproductive system neoplasm', 'Diethylstilbestrol']",0.00231555710032189
14058,35776,Diethylstilbestrol,female reproductive system neoplasm,disease-disease-drug,contraindication,"['female reproductive system neoplasm', 'vulvar neoplasm', 'Diethylstilbestrol']",0.00231555710032189
14058,35783,Diethylstilbestrol,female reproductive system neoplasm,disease-disease-drug,contraindication,"['female reproductive system neoplasm', 'benign female reproductive system neoplasm', 'Diethylstilbestrol']",0.00231555710032189
14058,35784,Diethylstilbestrol,female reproductive system neoplasm,disease-disease-drug,contraindication,"['female reproductive system neoplasm', 'tumor of uterus', 'Diethylstilbestrol']",0.00231555710032189
