phenotype_index,disease_index,drug_index,drug_name,drug_type,disease_name,disease_type,phenotype_name,phenotype_type
24492,27878,14024,Prednisone,drug,X-linked adrenal hypoplasia congenita,disease,Adrenal insufficiency,effect/phenotype
24285,27921,15074,Amphetamine,drug,attention deficit-hyperactivity disorder,disease,Hyperactivity,effect/phenotype
24285,27921,15173,Dextroamphetamine,drug,attention deficit-hyperactivity disorder,disease,Hyperactivity,effect/phenotype
24285,27921,16855,Methylphenidate,drug,attention deficit-hyperactivity disorder,disease,Hyperactivity,effect/phenotype
24285,27921,17315,Dexmethylphenidate,drug,attention deficit-hyperactivity disorder,disease,Hyperactivity,effect/phenotype
86892,27921,16855,Methylphenidate,drug,attention deficit-hyperactivity disorder,disease,Attention deficit hyperactivity disorder,effect/phenotype
86892,27921,17315,Dexmethylphenidate,drug,attention deficit-hyperactivity disorder,disease,Attention deficit hyperactivity disorder,effect/phenotype
22447,27933,14544,Bupropion,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14164,Alprazolam,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14156,Amitriptyline,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15082,Citalopram,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15148,Escitalopram,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14294,Clonazepam,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14543,Desipramine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15233,Dosulepin,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14310,Doxepin,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14176,Fluoxetine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14884,Phenelzine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14173,Imipramine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14542,Maprotiline,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,15094,Mirtazapine,drug,anxiety disorder,disease,Anxiety,effect/phenotype
22447,27933,14885,Moclobemide,drug,anxiety disorder,disease,Anxiety,effect/phenotype
