gene_index,disease_index,drug_index,drug_name,drug_type,disease_name,disease_type,gene_name,gene_type
1659,28313,14140,Ziprasidone,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14161,Olanzapine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,16011,Loxapine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,15098,Promazine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14178,Chlorpromazine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14952,Haloperidol,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14223,Risperidone,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14913,Trifluoperazine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14829,Flupentixol,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14323,Aripiprazole,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,15001,Paliperidone,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,15006,Iloperidone,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,15196,Sertindole,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14380,Asenapine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,15100,Prochlorperazine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,14999,Quetiapine,drug,schizophrenia,disease,ADRA1A,gene/protein
1659,28313,15223,Perospirone,drug,schizophrenia,disease,ADRA1A,gene/protein
2472,28313,14140,Ziprasidone,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,16011,Loxapine,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,14952,Haloperidol,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,14999,Quetiapine,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,14323,Aripiprazole,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,15001,Paliperidone,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,14380,Asenapine,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,15590,Lurasidone,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,15100,Prochlorperazine,drug,schizophrenia,disease,ADRA2A,gene/protein
2472,28313,14178,Chlorpromazine,drug,schizophrenia,disease,ADRA2A,gene/protein
10106,28313,14140,Ziprasidone,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,14161,Olanzapine,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,16011,Loxapine,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,15098,Promazine,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,14178,Chlorpromazine,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,14829,Flupentixol,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,14999,Quetiapine,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,14323,Aripiprazole,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,16014,Chlorprothixene,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,16317,Molindone,drug,schizophrenia,disease,CHRM1,gene/protein
10106,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,CHRM1,gene/protein
4468,28313,14140,Ziprasidone,drug,schizophrenia,disease,CHRM2,gene/protein
4468,28313,14161,Olanzapine,drug,schizophrenia,disease,CHRM2,gene/protein
4468,28313,16011,Loxapine,drug,schizophrenia,disease,CHRM2,gene/protein
4468,28313,14999,Quetiapine,drug,schizophrenia,disease,CHRM2,gene/protein
4468,28313,14323,Aripiprazole,drug,schizophrenia,disease,CHRM2,gene/protein
4468,28313,16014,Chlorprothixene,drug,schizophrenia,disease,CHRM2,gene/protein
4468,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,CHRM2,gene/protein
1922,28313,14140,Ziprasidone,drug,schizophrenia,disease,CHRM4,gene/protein
1922,28313,14161,Olanzapine,drug,schizophrenia,disease,CHRM4,gene/protein
1922,28313,16011,Loxapine,drug,schizophrenia,disease,CHRM4,gene/protein
1922,28313,14999,Quetiapine,drug,schizophrenia,disease,CHRM4,gene/protein
1922,28313,14323,Aripiprazole,drug,schizophrenia,disease,CHRM4,gene/protein
1922,28313,16014,Chlorprothixene,drug,schizophrenia,disease,CHRM4,gene/protein
1922,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,CHRM4,gene/protein
6090,28313,14140,Ziprasidone,drug,schizophrenia,disease,CHRM5,gene/protein
6090,28313,16011,Loxapine,drug,schizophrenia,disease,CHRM5,gene/protein
6090,28313,14999,Quetiapine,drug,schizophrenia,disease,CHRM5,gene/protein
6090,28313,14323,Aripiprazole,drug,schizophrenia,disease,CHRM5,gene/protein
6090,28313,16014,Chlorprothixene,drug,schizophrenia,disease,CHRM5,gene/protein
6090,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,CHRM5,gene/protein
3955,28313,14161,Olanzapine,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,15098,Promazine,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,14178,Chlorpromazine,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,14952,Haloperidol,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,14913,Trifluoperazine,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,15127,Perphenazine,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,14351,Thiothixene,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,14633,Lumateperone,drug,schizophrenia,disease,CYP1A2,gene/protein
3955,28313,14380,Asenapine,drug,schizophrenia,disease,CYP1A2,gene/protein
13807,28313,14161,Olanzapine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15098,Promazine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15100,Prochlorperazine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14178,Chlorpromazine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14952,Haloperidol,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15110,Fluphenazine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14223,Risperidone,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15127,Perphenazine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15131,Mesoridazine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14999,Quetiapine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14323,Aripiprazole,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15001,Paliperidone,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14351,Thiothixene,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15006,Iloperidone,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15194,Cariprazine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15196,Sertindole,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14380,Asenapine,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15223,Perospirone,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,15232,Brexpiprazole,drug,schizophrenia,disease,CYP2D6,gene/protein
13807,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,CYP2D6,gene/protein
8212,28313,14178,Chlorpromazine,drug,schizophrenia,disease,CYP2E1,gene/protein
8212,28313,15110,Fluphenazine,drug,schizophrenia,disease,CYP2E1,gene/protein
8212,28313,15006,Iloperidone,drug,schizophrenia,disease,CYP2E1,gene/protein
8974,28313,14140,Ziprasidone,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14161,Olanzapine,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15098,Promazine,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14178,Chlorpromazine,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14952,Haloperidol,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14223,Risperidone,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15127,Perphenazine,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14999,Quetiapine,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14323,Aripiprazole,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15001,Paliperidone,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15538,Fluspirilene,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15006,Iloperidone,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15194,Cariprazine,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14633,Lumateperone,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15196,Sertindole,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14380,Asenapine,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15590,Lurasidone,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15223,Perospirone,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,15232,Brexpiprazole,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14420,Blonanserin,drug,schizophrenia,disease,CYP3A4,gene/protein
8974,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,CYP3A4,gene/protein
10901,28313,14952,Haloperidol,drug,schizophrenia,disease,CYP3A5,gene/protein
10901,28313,14999,Quetiapine,drug,schizophrenia,disease,CYP3A5,gene/protein
10901,28313,14323,Aripiprazole,drug,schizophrenia,disease,CYP3A5,gene/protein
10901,28313,15001,Paliperidone,drug,schizophrenia,disease,CYP3A5,gene/protein
10901,28313,15006,Iloperidone,drug,schizophrenia,disease,CYP3A5,gene/protein
10901,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,CYP3A5,gene/protein
10901,28313,14161,Olanzapine,drug,schizophrenia,disease,CYP3A5,gene/protein
3199,28313,14140,Ziprasidone,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14161,Olanzapine,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,16011,Loxapine,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14178,Chlorpromazine,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14952,Haloperidol,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,15110,Fluphenazine,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14223,Risperidone,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,15127,Perphenazine,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14829,Flupentixol,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14999,Quetiapine,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14323,Aripiprazole,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,16014,Chlorprothixene,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,15001,Paliperidone,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14351,Thiothixene,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,15006,Iloperidone,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14633,Lumateperone,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14380,Asenapine,drug,schizophrenia,disease,DRD1,gene/protein
3199,28313,14485,Aripiprazole lauroxil,drug,schizophrenia,disease,DRD1,gene/protein
2401,28313,14140,Ziprasidone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14161,Olanzapine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14839,Sulpiride,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,16011,Loxapine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15098,Promazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15100,Prochlorperazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14178,Chlorpromazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14952,Haloperidol,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15110,Fluphenazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14223,Risperidone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14913,Trifluoperazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15127,Perphenazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14829,Flupentixol,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15131,Mesoridazine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14999,Quetiapine,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14323,Aripiprazole,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,16014,Chlorprothixene,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15001,Paliperidone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,16317,Molindone,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,14351,Thiothixene,drug,schizophrenia,disease,DRD2,gene/protein
2401,28313,15177,Zuclopenthixol,drug,schizophrenia,disease,DRD2,gene/protein
