drug_index,disease_index,related_phenotypes,related_proteins,drug_name,drug_type,disease_name,disease_type
17174,33586,"[33729, 94306, 94293, 23928, 25468, 25469]","[163, 8068, 9466, 10417, 12276, 3607, 22042, 10429, 2493]",Rivastigmine,drug,atrioventricular block (disease),disease
17233,30602,"[22946, 84498, 87347, 26180]","[2616, 6684, 1239]",Carbinoxamine,drug,familial adrenal hypoplasia with absent pituitary luteinizing hormone,disease
15098,83751,[23728],"[10417, 8974, 4447]",Promazine,drug,torsades de pointes,disease
15132,28780,"[85633, 84694, 93704, 85516, 22670, 22671, 22675, 91412, 22421, 22676, 84887, 22682, 26653, 85153, 22692, 94248, 22442, 22699, 22445, 26162, 26293, 22454, 85559, 85562, 27073, 24262, 22343, 84678, 23113, 85588, 23125, 22998, 22999, 23000, 85078, 84695, 23515, 24284, 26205, 33758, 23135, 90327, 84708, 24294, 22759, 23153, 22996, 23545, 84858, 89468]","[8192, 1031, 8712, 5137, 1045, 1048, 12825, 29, 6175, 33, 12321, 7717, 3111, 1066, 2606, 6195, 61, 2114, 10835, 5720, 33881, 602, 33882, 33883, 33884, 33885, 6751, 33886, 33887, 33888, 611, 33889, 33890, 33891, 1127, 33892, 2665, 33893, 1139, 3192, 9852, 8317, 8855, 2712, 6821, 4278, 6329, 702, 2760, 4818, 213, 216, 11482, 1762, 228, 743, 749, 3316, 3837, 13566, 4352, 11523, 2329, 4890, 4378, 6940, 1820, 3879, 13097, 7474, 9021, 341, 854, 8021, 12122, 4959, 2915, 8038, 3434, 375, 2429, 5508, 397, 4497, 7569, 6043, 12188, 4003, 4536, 7621, 4550, 1491, 983, 5080, 9689, 989, 1004, 13807, 33778, 4596, 11770]",Hydrocodone,drug,Alzheimer disease,disease
15311,27452,"[84993, 84994, 84995, 84996, 23564, 87567, 26139, 84507, 24608, 22566, 26667, 26674, 85561, 84538, 89147, 89151, 84547, 26180, 94280, 24652, 89676, 86612, 84566, 22621, 84574, 22630, 22124, 24174, 84607, 84616, 85642, 22668, 22675, 84628, 84630, 84633, 84637, 22174, 84639, 23203, 84643, 88749, 22197, 86198, 25279, 22212, 88264, 22218, 86221, 89821, 23265, 89315, 22759, 84713, 22255, 23793, 22258, 22772, 90359, 22264, 93438, 92926, 84736, 22788, 22277, 22276, 86788, 22291, 22292, 86295, 84764, 22304, 22307, 25381, 22822, 22835, 23864, 22845, 24896, 85318, 22859, 23887, 22360, 23897, 94200, 22369, 23908, 25453, 25455, 87422, 25472, 87428, 85386, 84368, 22929, 22933, 87445, 22934, 84903, 25520, 89013, 22453, 33730, 94146, 88008, 94152, 84938, 22478, 25552, 22488, 85991, 24560, 24051, 24564, 24055, 84472]","[130, 1809, 2460, 1948, 2977, 4789, 4663, 827, 59, 5054, 2496, 1729, 35009, 2500, 4933, 717, 4046, 848, 10836, 2137, 349, 2015, 4960, 8671, 3049, 8556, 1518, 6384, 885, 889, 765, 7423]",Primidone,drug,Diamond-Blackfan anemia,disease
14380,27740,"[23489, 22759, 94152, 86153, 22952, 25547, 22124, 89256, 90830, 23212, 23984, 88529, 89255, 22933, 89151]","[8733, 6002, 1908, 6973, 3231]",Asenapine,drug,adult idiopathic neutropenia,disease
14784,30035,"[25308, 90791]","[8192, 34820, 34821, 8198, 12295, 34822, 2057, 34823, 34824, 34825, 34826, 34827, 15, 12304, 34828, 34829, 34830, 8212, 34831, 22, 34832, 8216, 34833, 12315, 29, 6175, 8230, 43, 2096, 10293, 4151, 6199, 4152, 61, 4171, 6220, 12367, 4175, 2134, 2143, 6244, 2151, 10346, 4213, 4215, 125, 4221, 2188, 144, 178, 6328, 6329, 12479, 12482, 197, 2248, 12489, 12510, 2277, 6374, 10470, 2281, 8437, 8439, 248, 12537, 12538, 10491, 12539, 10495, 8454, 8464, 4369, 6418, 2322, 35088, 10518, 6424, 12571, 6428, 8476, 286, 287, 6440, 12586, 8497, 6453, 6457, 10556, 10559, 321, 12611, 4420, 4425, 2379, 2387, 12629, 341, 2396, 2398, 2401, 363, 12653, 4468, 375, 381, 12671, 4480, 6529, 389, 390, 4489, 6541, 12691, 2452, 10645, 10654, 418, 2472, 10667, 12724, 4536, 2499, 452, 457, 4554, 4566, 4582, 492, 4593, 10744, 4601, 509, 8702, 6657, 4618, 4620, 10764, 526, 527, 525, 10771, 532, 8726, 6679, 2591, 6691, 8747, 560, 10805, 587, 8781, 4686, 10833, 10835, 6739, 6740, 610, 2672, 12915, 8829, 8832, 12931, 2692, 647, 6792, 12937, 8855, 6808, 4760, 666, 676, 2741, 4794, 12987, 4814, 4815, 13024, 2789, 744, 8936, 748, 2797, 6898, 10997, 8960, 11011, 2820, 2825, 13075, 8979, 799, 11043, 8999, 13097, 4909, 4910, 6964, 11062, 11066, 13115, 9021, 4932, 9029, 4937, 4941, 13147, 7006, 864, 866, 9060, 11123, 11136, 11147, 5009, 2966, 5018, 2983, 11179, 2992, 11185, 9148, 13248, 7110, 5063, 968, 5065, 974, 11215, 983, 985, 9180, 11235, 5092, 11239, 9196, 1004, 5100, 1012, 5109, 1014, 11253, 13309, 13313, 5122, 11267, 3080, 5130, 33805, 13330, 33818, 3100, 1057, 5156, 11301, 3111, 13355, 1069, 33840, 33851, 33856, 1089, 33867, 1101, 33870, 33885, 7266, 7267, 5228, 13423, 3199, 1151, 5256, 1162, 13457, 33938, 11412, 9373, 3235, 33955, 33956, 13479, 5292, 33964, 9399, 5306, 3259, 7359, 33985, 1228, 34005, 11479, 1246, 34026, 34027, 34028, 34029, 34030, 34031, 34032, 34033, 34034, 34035, 34036, 34037, 34038, 34039, 34040, 34041, 34042, 34043, 34044, 34045, 34046, 13560, 11523, 1289, 5388, 9487, 3344, 11536, 11539, 9500, 11548, 1311, 1312, 1320, 7466, 3379, 5429, 1335, 3384, 5439, 7490, 7497, 1357, 5454, 13647, 7506, 9558, 3417, 1373, 9574, 1385, 5491, 13688, 7546, 34176, 5507, 3465, 5513, 3466, 3474, 1428, 13718, 9640, 7615, 1475, 1480, 9679, 21972, 1497, 11738, 1503, 13800, 13807, 34290, 9718, 11768, 5624, 11771, 5638, 22024, 13841, 22038, 22039, 5655, 22043, 1567, 11808, 7716, 22057, 3628, 5677, 22068, 13877, 13878, 34358, 3648, 7747, 1605, 22092, 34382, 11857, 7764, 5720, 13915, 3688, 11881, 1650, 13939, 7801, 1658, 1659, 1665, 34434, 5765, 13987, 3764, 9915, 3774, 7877, 9929, 11978, 11992, 5856, 1760, 3812, 1770, 5877, 1785, 34553, 34555, 1798, 1803, 1810, 7955, 7968, 3879, 1836, 7981, 7986, 34612, 1850, 3901, 10047, 34629, 1863, 1866, 5963, 8013, 10062, 10066, 1876, 10074, 3932, 8029, 34654, 1887, 10084, 10093, 1908, 10102, 12166, 1927, 1929, 3980, 12173, 10129, 34722, 4003, 34723, 34724, 34725, 34726, 34727, 34728, 10154, 34729, 34730, 8109, 34731, 34732, 34733, 34734, 34735, 34736, 10164, 34737, 1968, 4023, 4026, 8130, 8136, 6090, 12236, 1996, 12238, 2001, 2002, 4063, 10215, 34792, 34793, 10218, 2027]",Theophylline,drug,substance abuse/dependence,disease
14221,31596,"[23274, 22757, 22759]","[6885, 13669, 144, 8372, 375, 11967]",Norethisterone,drug,uterine corpus leiomyoma,disease
16795,29113,"[22497, 26180, 22951, 22759, 86572, 22483, 25308]","[5124, 3078, 7688, 7568, 4497, 7059, 7958, 2329, 6428, 6684, 1567, 35105, 34082, 35106, 12454, 3495, 2983, 1705, 679, 7083, 3887, 1592, 7489, 13122, 6598, 13257, 6985, 21961, 2384, 12881, 8531, 8277, 213, 5720, 4184, 7384, 729, 4579, 8428, 2797, 4468, 12663, 7801, 9723, 7036]",Diclofenamide,drug,diabetic ketoacidosis,disease
14231,27626,"[85000, 26377, 26378, 22933, 22934, 84885, 22550, 27038, 86302, 88993, 88994, 84771, 22180, 84774, 85032, 89005, 86191, 26674, 84663, 26180, 90830, 87375, 23764, 92635, 92636, 85853, 89060, 22759, 86007, 24953, 86012]","[513, 2281, 362, 4109, 1170, 1370]",Irinotecan,drug,thrombocytopenia,disease
16063,33623,"[94280, 22929, 94202, 94311]","[11136, 2434, 130, 7815, 6664, 6926, 2834, 789, 2329, 8733, 6175, 3231, 802, 1322, 2861, 34607, 3509, 568, 2617, 2621, 22077, 7489, 2371, 4550, 8391, 1611, 12629, 3932, 4959, 10084, 8805, 8038, 8556, 2037, 10998, 1535]",Scopolamine,drug,macrocytic anemia (disease),disease
14241,27326,"[89225, 94223, 26257, 84369, 94225, 84887, 23833, 23834, 88859, 22827, 22828, 23728, 22846, 25672, 22859, 84940, 22759, 86141, 25469, 23934]","[7177, 9233, 34962, 7198, 1968, 177, 10417, 35250, 945, 61, 1221, 201, 4447, 1760, 2784, 11497, 10608, 242, 9466, 3967]",Fentanyl,drug,long QT syndrome,disease
20294,31395,"[85561, 24585, 22759]","[2641, 6154, 3932, 12537]",Phenyltoloxamine,drug,benign prostatic hyperplasia (disease),disease
15179,29113,"[22497, 26180, 22951, 22759, 86572, 22483, 25308]","[5124, 3078, 7688, 7568, 4497, 7059, 7958, 2329, 6428, 6684, 1567, 35105, 34082, 35106, 12454, 3495, 2983, 1705, 679, 7083, 3887, 1592, 7489, 13122, 6598, 13257, 6985, 21961, 2384, 12881, 8531, 8277, 213, 5720, 4184, 7384, 729, 4579, 8428, 2797, 4468, 12663, 7801, 9723, 7036]",Nicotinamide,drug,diabetic ketoacidosis,disease
15174,37180,[33728],"[6144, 34295, 3078, 5137, 2585, 1050, 29, 1567, 4640, 33, 22058, 7214, 4155, 8256, 6729, 8269, 3666, 3679, 7267, 6244, 8805, 2151, 1139, 8821, 5248, 4227, 5259, 2712, 33949, 2722, 6845, 2242, 211, 225, 4323, 8428, 2797, 5871, 10993, 12028, 2818, 11013, 4360, 6926, 11542, 2329, 282, 293, 3879, 13097, 5938, 7489, 13122, 2889, 4941, 2381, 4959, 34658, 8035, 34659, 4968, 361, 13161, 8556, 2417, 373, 375, 2429, 11136, 4993, 389, 34182, 11143, 4497, 3474, 11174, 2983, 10154, 4010, 3516, 959, 1987, 7110, 2515, 5078, 21977, 476, 4063, 12255, 21989, 1004, 5101, 12791, 3581, 1534]",Metamfetamine,drug,myocardial infarction (disease),disease
15999,32702,"[22373, 88744, 22604, 25900, 84814, 89294, 22264, 88765, 84767]","[2978, 642, 1770]",Nepafenac,drug,keratoconjunctivitis,disease
20129,29061,"[84362, 22180, 84886, 22759]","[8192, 13313, 11267, 5640, 8205, 2576, 1557, 22, 9239, 5155, 10285, 5679, 2621, 3135, 2111, 22088, 1097, 2633, 587, 8267, 6217, 1611, 7754, 22090, 4170, 4176, 10322, 1108, 5720, 22106, 102, 10346, 5740, 625, 1650, 2675, 4212, 13430, 9340, 125, 5248, 12420, 4748, 141, 668, 5277, 2718, 3233, 1700, 1704, 9898, 683, 5807, 34480, 2749, 1216, 2756, 7382, 3800, 7898, 735, 8415, 34017, 227, 12519, 8432, 2289, 4337, 10993, 12537, 4347, 10492, 6398, 3839, 4358, 4872, 3849, 5388, 2318, 271, 3346, 2837, 9494, 8988, 285, 8477, 1319, 1832, 9003, 1836, 5932, 5422, 6959, 2863, 3373, 12077, 13103, 2356, 9527, 34619, 13628, 3901, 2366, 6469, 9543, 4425, 11084, 34648, 7513, 34649, 34650, 3932, 1373, 862, 4446, 10592, 8540, 11617, 34651, 34652, 34653, 34654, 12653, 9076, 7032, 5500, 892, 5502, 12165, 9094, 7047, 4488, 12682, 3471, 7056, 3472, 8092, 1953, 5542, 2983, 12202, 13740, 9133, 9138, 11703, 7105, 1987, 34244, 2503, 13774, 8662, 12255, 992, 7140, 21990, 4585, 9196, 502, 22007, 509, 1535]",Chlordiazepoxide,drug,endometriosis of uterus,disease
16063,32977,"[26336, 22977, 22952, 23113, 26312, 25644, 25560, 85040, 23440, 22323, 24340, 25620, 23158, 22679, 23000, 25945, 22555, 22398]","[130, 6532, 7626, 9835, 3955, 8855]",Scopolamine,drug,inherited porphyria,disease
15150,29352,"[26375, 91409, 25620, 22933, 22934, 27038, 91424, 24610, 22952, 23979, 26284, 84526, 23214, 23985, 86581, 22199, 26552, 26681, 84555, 88014, 86607, 26067, 88532, 26964, 89943, 26074, 23002, 85214, 23007, 22759, 22250, 23158]","[3331, 6002, 1908, 8733, 3231]",Propafenone,drug,cyclic hematopoiesis,disease
14184,83751,[23728],"[10417, 8974, 4447]",Ritonavir,drug,torsades de pointes,disease
15173,31283,"[84449, 84450, 22759, 86892, 24593, 24594, 22679, 84696]","[8832, 13174, 35136, 6110]",Dextroamphetamine,drug,Tourette syndrome,disease
15493,30382,[25308],"[8256, 5056, 2017, 611, 5092, 10833, 4497, 10835, 5938, 5137, 4182, 11860, 6936, 3289, 29]",Bromocriptine,drug,obsolete susceptibility to ischemic stroke,disease
15495,31650,"[25488, 22928, 86163, 23446, 22304, 23458, 23844, 93481, 25644, 22323, 23731, 22716, 84928, 84800, 84675, 22467, 23494, 90316, 90318, 88402, 85334, 22999, 23000, 25307, 25308, 25950, 23135, 22497, 25954, 23011, 89315, 24045, 90741, 22392, 84857, 84734]","[2400, 1760, 5325, 8432, 1843, 1148]",Estazolam,drug,myasthenia gravis,disease
15025,27626,"[85000, 26377, 26378, 22933, 22934, 84885, 22550, 27038, 86302, 88993, 88994, 84771, 22180, 84774, 85032, 89005, 86191, 26674, 84663, 26180, 90830, 87375, 23764, 92635, 92636, 85853, 89060, 22759, 86007, 24953, 86012]","[513, 2281, 362, 4109, 1170, 1370]",Cabazitaxel,drug,thrombocytopenia,disease
